 K1 pulsation (degrees/h):
  15.0410686390000006
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0    9.973  352.090    0.944 
2001  1 1 0 0 0   10.720  351.164    0.983 
2002  1 1 0 0 0   10.481  351.305    1.022 
2003  1 1 0 0 0   10.242  352.347    1.056 
2004  1 1 0 0 0   10.004  354.082    1.084 
2005  1 1 0 0 0   10.750  356.303    1.103 
2006  1 1 0 0 0   10.512  358.798    1.112 
2007  1 1 0 0 0   10.273    1.380    1.111 
2008  1 1 0 0 0   10.034    3.862    1.102 
2009  1 1 0 0 0   10.781    6.057    1.082 
2010  1 1 0 0 0   10.542    7.750    1.054 
2011  1 1 0 0 0   10.304    8.736    1.019 
2012  1 1 0 0 0   10.065    8.808    0.980 
2013  1 1 0 0 0   10.812    7.804    0.941 
2014  1 1 0 0 0   10.573    5.700    0.908 
2015  1 1 0 0 0   10.335    2.681    0.887 
2016  1 1 0 0 0   10.096  359.197    0.882 
2017  1 1 0 0 0   10.843  355.847    0.895 
2018  1 1 0 0 0   10.604  353.206    0.922 
2019  1 1 0 0 0   10.365  351.598    0.958 
2020  1 1 0 0 0   10.127  351.100    0.998 
