 M4 pulsation (degrees/h):
  57.9682084279999970
Year  M D h m s  V0(deg)   u(deg)    f:
2000  1 1 0 0 0  272.926  356.519    1.044 
2001  1 1 0 0 0   65.669  355.894    1.021 
2002  1 1 0 0 0  267.175  355.731    0.996 
2003  1 1 0 0 0  108.681  356.049    0.972 
2004  1 1 0 0 0  310.187  356.818    0.951 
2005  1 1 0 0 0  102.929  357.955    0.936 
2006  1 1 0 0 0  304.435  359.326    0.929 
2007  1 1 0 0 0  145.941    0.774    0.929 
2008  1 1 0 0 0  347.447    2.133    0.937 
2009  1 1 0 0 0  140.190    3.249    0.952 
2010  1 1 0 0 0  341.695    3.988    0.973 
2011  1 1 0 0 0  183.201    4.273    0.997 
2012  1 1 0 0 0   24.707    4.077    1.022 
2013  1 1 0 0 0  177.450    3.422    1.045 
2014  1 1 0 0 0   18.956    2.388    1.063 
2015  1 1 0 0 0  220.462    1.092    1.074 
2016  1 1 0 0 0   61.967  359.675    1.077 
2017  1 1 0 0 0  214.710  358.291    1.070 
2018  1 1 0 0 0   56.216  357.098    1.056 
2019  1 1 0 0 0  257.722  356.226    1.035 
2020  1 1 0 0 0   99.228  355.775    1.011 
