 S2 pulsation (degrees/h):
  30.0000000000000000
Year  M D h m s  V0(deg)   u(deg)    f:
2001  1 1 0 0 0    0.000    0.000    1.000 
2002  1 1 0 0 0    0.000    0.000    1.000 
2003  1 1 0 0 0  360.000    0.000    1.000 
2004  1 1 0 0 0  360.000    0.000    1.000 
2005  1 1 0 0 0    0.000    0.000    1.000 
2006  1 1 0 0 0    0.000    0.000    1.000 
2007  1 1 0 0 0    0.000    0.000    1.000 
2008  1 1 0 0 0    0.000    0.000    1.000 
2009  1 1 0 0 0    0.000    0.000    1.000 
2010  1 1 0 0 0    0.000    0.000    1.000 
2011  1 1 0 0 0    0.000    0.000    1.000 
2012  1 1 0 0 0    0.000    0.000    1.000 
2013  1 1 0 0 0  360.000    0.000    1.000 
2014  1 1 0 0 0    0.000    0.000    1.000 
2015  1 1 0 0 0    0.000    0.000    1.000 
2016  1 1 0 0 0    0.000    0.000    1.000 
2017  1 1 0 0 0  360.000    0.000    1.000 
2018  1 1 0 0 0  360.000    0.000    1.000 
2019  1 1 0 0 0    0.000    0.000    1.000 
2020  1 1 0 0 0    0.000    0.000    1.000 
2021  1 1 0 0 0    0.000    0.000    1.000 
2022  1 1 0 0 0  360.000    0.000    1.000 
2023  1 1 0 0 0  360.000    0.000    1.000 
2024  1 1 0 0 0    0.000    0.000    1.000 
2025  1 1 0 0 0    0.000    0.000    1.000 
2026  1 1 0 0 0    0.000    0.000    1.000 
2027  1 1 0 0 0  360.000    0.000    1.000 
2028  1 1 0 0 0  360.000    0.000    1.000 
2029  1 1 0 0 0    0.000    0.000    1.000 
2030  1 1 0 0 0    0.000    0.000    1.000 
2031  1 1 0 0 0    0.000    0.000    1.000 
2032  1 1 0 0 0  360.000    0.000    1.000 
2033  1 1 0 0 0    0.000    0.000    1.000 
2034  1 1 0 0 0    0.000    0.000    1.000 
2035  1 1 0 0 0    0.000    0.000    1.000 
2036  1 1 0 0 0    0.000    0.000    1.000 
2037  1 1 0 0 0  360.000    0.000    1.000 
2038  1 1 0 0 0    0.000    0.000    1.000 
2039  1 1 0 0 0    0.000    0.000    1.000 
2040  1 1 0 0 0    0.000    0.000    1.000 
2041  1 1 0 0 0  360.000    0.000    1.000 
2042  1 1 0 0 0  360.000    0.000    1.000 
2043  1 1 0 0 0    0.000    0.000    1.000 
2044  1 1 0 0 0    0.000    0.000    1.000 
2045  1 1 0 0 0    0.000    0.000    1.000 
2046  1 1 0 0 0  360.000    0.000    1.000 
2047  1 1 0 0 0  360.000    0.000    1.000 
2048  1 1 0 0 0    0.000    0.000    1.000 
2049  1 1 0 0 0    0.000    0.000    1.000 
2050  1 1 0 0 0    0.000    0.000    1.000 
2051  1 1 0 0 0  360.000    0.000    1.000 
2052  1 1 0 0 0  360.000    0.000    1.000 
2053  1 1 0 0 0    0.000    0.000    1.000 
2054  1 1 0 0 0    0.000    0.000    1.000 
2055  1 1 0 0 0    0.000    0.000    1.000 
2056  1 1 0 0 0  360.000    0.000    1.000 
2057  1 1 0 0 0    0.000    0.000    1.000 
2058  1 1 0 0 0    0.000    0.000    1.000 
2059  1 1 0 0 0    0.000    0.000    1.000 
2060  1 1 0 0 0    0.000    0.000    1.000 
2061  1 1 0 0 0  360.000    0.000    1.000 
2062  1 1 0 0 0    0.000    0.000    1.000 
2063  1 1 0 0 0    0.000    0.000    1.000 
2064  1 1 0 0 0    0.000    0.000    1.000 
2065  1 1 0 0 0  360.000    0.000    1.000 
2066  1 1 0 0 0  360.000    0.000    1.000 
2067  1 1 0 0 0    0.000    0.000    1.000 
2068  1 1 0 0 0    0.000    0.000    1.000 
2069  1 1 0 0 0    0.000    0.000    1.000 
2070  1 1 0 0 0  360.000    0.000    1.000 
2071  1 1 0 0 0  360.000    0.000    1.000 
2072  1 1 0 0 0    0.000    0.000    1.000 
2073  1 1 0 0 0    0.000    0.000    1.000 
2074  1 1 0 0 0    0.000    0.000    1.000 
2075  1 1 0 0 0  360.000    0.000    1.000 
2076  1 1 0 0 0  360.000    0.000    1.000 
2077  1 1 0 0 0    0.000    0.000    1.000 
2078  1 1 0 0 0    0.000    0.000    1.000 
2079  1 1 0 0 0    0.000    0.000    1.000 
2080  1 1 0 0 0    0.000    0.000    1.000 
2081  1 1 0 0 0    0.000    0.000    1.000 
2082  1 1 0 0 0    0.000    0.000    1.000 
2083  1 1 0 0 0    0.000    0.000    1.000 
2084  1 1 0 0 0    0.000    0.000    1.000 
2085  1 1 0 0 0    0.000    0.000    1.000 
2086  1 1 0 0 0    0.000    0.000    1.000 
2087  1 1 0 0 0    0.000    0.000    1.000 
2088  1 1 0 0 0    0.000    0.000    1.000 
2089  1 1 0 0 0    0.000    0.000    1.000 
2090  1 1 0 0 0    0.000    0.000    1.000 
2091  1 1 0 0 0    0.000    0.000    1.000 
2092  1 1 0 0 0    0.000    0.000    1.000 
2093  1 1 0 0 0    0.000    0.000    1.000 
2094  1 1 0 0 0    0.000    0.000    1.000 
2095  1 1 0 0 0    0.000    0.000    1.000 
2096  1 1 0 0 0    0.000    0.000    1.000 
2097  1 1 0 0 0    0.000    0.000    1.000 
2098  1 1 0 0 0    0.000    0.000    1.000 
2099  1 1 0 0 0    0.000    0.000    1.000 
2100  1 1 0 0 0    0.000    0.000    1.000 
