 O1 pulsation (degrees/h):
  13.9430355749999997
Year  M D h m s  V0(deg)   u(deg)    f:
2071  1 1 0 0 0    0.288  357.107    0.811 
2072  1 1 0 0 0  101.279    1.857    0.808 
2073  1 1 0 0 0  176.904    6.200    0.833 
2074  1 1 0 0 0  277.896    9.266    0.881 
2075  1 1 0 0 0   18.887   10.759    0.942 
2076  1 1 0 0 0  119.879   10.803    1.007 
2077  1 1 0 0 0  195.503    9.706    1.067 
2078  1 1 0 0 0  296.495    7.805    1.117 
2079  1 1 0 0 0   37.487    5.377    1.154 
2080  1 1 0 0 0  138.478    2.639    1.176 
2081  1 1 0 0 0  214.103  359.756    1.183 
2082  1 1 0 0 0  315.094  356.894    1.173 
2083  1 1 0 0 0   56.086  354.194    1.149 
2084  1 1 0 0 0  157.078  351.836    1.109 
2085  1 1 0 0 0  232.702  350.044    1.057 
2086  1 1 0 0 0  333.694  349.116    0.996 
2087  1 1 0 0 0   74.685  349.382    0.932 
2088  1 1 0 0 0  175.677  351.135    0.872 
2089  1 1 0 0 0  251.302  354.458    0.827 
2090  1 1 0 0 0  352.293  358.930    0.806 
2091  1 1 0 0 0   93.285    3.644    0.815 
2092  1 1 0 0 0  194.276    7.560    0.850 
2093  1 1 0 0 0  269.901   10.032    0.904 
2094  1 1 0 0 0   10.893   10.933    0.968 
2095  1 1 0 0 0  111.884   10.495    1.031 
2096  1 1 0 0 0  212.876    9.053    1.087 
2097  1 1 0 0 0  288.500    6.912    1.133 
2098  1 1 0 0 0   29.492    4.341    1.164 
2099  1 1 0 0 0  130.484    1.531    1.181 
2100  1 1 0 0 0  231.475  358.644    1.181 
