 K1 pulsation (degrees/h):
  15.0410686390000006
Year  M D h m s  V0(deg)   u(deg)    f:
2071  1 1 0 0 0   10.765    2.136    0.885 
2072  1 1 0 0 0   10.526  358.632    0.883 
2073  1 1 0 0 0   11.273  355.361    0.898 
2074  1 1 0 0 0   11.035  352.872    0.927 
2075  1 1 0 0 0   10.796  351.443    0.965 
2076  1 1 0 0 0   10.557  351.118    1.005 
2077  1 1 0 0 0   11.304  351.779    1.042 
2078  1 1 0 0 0   11.065  353.228    1.073 
2079  1 1 0 0 0   10.827  355.253    1.095 
2080  1 1 0 0 0   10.588  357.645    1.109 
2081  1 1 0 0 0   11.335    0.218    1.113 
2082  1 1 0 0 0   11.096    2.768    1.107 
2083  1 1 0 0 0   10.857    5.114    1.092 
2084  1 1 0 0 0   10.619    7.058    1.068 
2085  1 1 0 0 0   11.366    8.393    1.036 
2086  1 1 0 0 0   11.127    8.901    0.998 
2087  1 1 0 0 0   10.888    8.398    0.958 
2088  1 1 0 0 0   10.649    6.784    0.922 
2089  1 1 0 0 0   11.396    4.131    0.895 
2090  1 1 0 0 0   11.158    0.787    0.882 
2091  1 1 0 0 0   10.919  357.304    0.887 
2092  1 1 0 0 0   10.680  354.289    0.908 
2093  1 1 0 0 0   11.427  352.185    0.941 
2094  1 1 0 0 0   11.188  351.190    0.980 
2095  1 1 0 0 0   10.950  351.266    1.019 
2096  1 1 0 0 0   10.711  352.256    1.054 
2097  1 1 0 0 0   11.458  353.957    1.082 
2098  1 1 0 0 0   11.219  356.148    1.102 
2099  1 1 0 0 0   10.980  358.631    1.111 
2100  1 1 0 0 0   10.742    1.213    1.112 
