 Q1 pulsation (degrees/h):
  13.3986608769999993
Year  M D h m s  V0(deg)   u(deg)    f:
1950  1 1 0 0 0  205.775    1.807    1.180 
1951  1 1 0 0 0  218.044  358.921    1.182 
1952  1 1 0 0 0  230.314  356.089    1.168 
1953  1 1 0 0 0  204.151  353.462    1.139 
1954  1 1 0 0 0  216.420  351.244    1.095 
1955  1 1 0 0 0  228.689  349.673    1.040 
1956  1 1 0 0 0  240.959  349.056    0.978 
1957  1 1 0 0 0  214.796  349.730    0.914 
1958  1 1 0 0 0  227.065  351.948    0.857 
1959  1 1 0 0 0  239.334  355.665    0.818 
1960  1 1 0 0 0  251.604    0.317    0.806 
1961  1 1 0 0 0  225.441    4.909    0.822 
1962  1 1 0 0 0  237.710    8.444    0.864 
1963  1 1 0 0 0  249.979   10.447    0.922 
1964  1 1 0 0 0  262.249   10.930    0.986 
1965  1 1 0 0 0  236.086   10.163    1.048 
1966  1 1 0 0 0  248.355    8.489    1.102 
1967  1 1 0 0 0  260.624    6.204    1.143 
1968  1 1 0 0 0  272.894    3.545    1.171 
1969  1 1 0 0 0  246.731    0.690    1.182 
1970  1 1 0 0 0  259.000  357.808    1.178 
1971  1 1 0 0 0  271.269  355.038    1.158 
1972  1 1 0 0 0  283.539  352.548    1.124 
1973  1 1 0 0 0  257.376  350.542    1.075 
1974  1 1 0 0 0  269.645  349.302    1.017 
1975  1 1 0 0 0  281.914  349.145    0.953 
1976  1 1 0 0 0  294.184  350.395    0.890 
1977  1 1 0 0 0  268.021  353.231    0.840 
1978  1 1 0 0 0  280.290  357.408    0.810 
1979  1 1 0 0 0  292.559    2.164    0.809 
1980  1 1 0 0 0  304.829    6.434    0.836 
1981  1 1 0 0 0  278.666    9.412    0.885 
1982  1 1 0 0 0  290.935   10.803    0.947 
1983  1 1 0 0 0  303.204   10.763    1.011 
1984  1 1 0 0 0  315.474    9.608    1.070 
1985  1 1 0 0 0  289.311    7.660    1.120 
1986  1 1 0 0 0  301.580    5.205    1.156 
1987  1 1 0 0 0  313.849    2.454    1.177 
1988  1 1 0 0 0  326.119  359.575    1.183 
1989  1 1 0 0 0  299.956  356.711    1.172 
1990  1 1 0 0 0  312.225  354.028    1.147 
1991  1 1 0 0 0  324.494  351.700    1.106 
1992  1 1 0 0 0  336.764  349.958    1.054 
1993  1 1 0 0 0  310.601  349.094    0.992 
1994  1 1 0 0 0  322.870  349.448    0.928 
1995  1 1 0 0 0  335.139  351.305    0.869 
1996  1 1 0 0 0  347.409  354.711    0.825 
1997  1 1 0 0 0  321.246  359.242    0.806 
1998  1 1 0 0 0  333.515    3.934    0.816 
1999  1 1 0 0 0  345.784    7.769    0.853 
2000  1 1 0 0 0  358.054   10.133    0.908 
2001  1 1 0 0 0  331.891   10.942    0.972 
2002  1 1 0 0 0  344.160   10.428    1.035 
2003  1 1 0 0 0  356.429    8.932    1.091 
2004  1 1 0 0 0    8.699    6.762    1.135 
2005  1 1 0 0 0  342.536    4.163    1.166 
2006  1 1 0 0 0  354.805    1.344    1.181 
2007  1 1 0 0 0    7.074  358.456    1.181 
2008  1 1 0 0 0   19.344  355.648    1.164 
2009  1 1 0 0 0  353.181  353.071    1.133 
2010  1 1 0 0 0    5.450  350.939    1.087 
2011  1 1 0 0 0   17.719  349.500    1.031 
2012  1 1 0 0 0   29.989  349.068    0.967 
2013  1 1 0 0 0    3.826  349.980    0.904 
2014  1 1 0 0 0   16.095  352.454    0.849 
2015  1 1 0 0 0   28.364  356.375    0.814 
2016  1 1 0 0 0   40.634    1.090    0.806 
2017  1 1 0 0 0   14.471    5.570    0.828 
2018  1 1 0 0 0   26.740    8.876    0.873 
2019  1 1 0 0 0   39.009   10.623    0.932 
2020  1 1 0 0 0   51.279   10.882    0.997 
2021  1 1 0 0 0   25.116    9.946    1.058 
2022  1 1 0 0 0   37.385    8.154    1.110 
2023  1 1 0 0 0   49.654    5.795    1.149 
2024  1 1 0 0 0   61.924    3.094    1.174 
2025  1 1 0 0 0   35.761    0.223    1.183 
2026  1 1 0 0 0   48.030  357.349    1.176 
2027  1 1 0 0 0   60.299  354.612    1.154 
2028  1 1 0 0 0   72.569  352.185    1.117 
2029  1 1 0 0 0   46.406  350.283    1.066 
2030  1 1 0 0 0   58.675  349.194    1.007 
2031  1 1 0 0 0   70.944  349.244    0.942 
2032  1 1 0 0 0   83.214  350.744    0.881 
2033  1 1 0 0 0   57.051  353.827    0.833 
2034  1 1 0 0 0   69.320  358.164    0.808 
2035  1 1 0 0 0   81.589    2.913    0.811 
2036  1 1 0 0 0   93.859    7.016    0.842 
2037  1 1 0 0 0   67.696    9.743    0.894 
2038  1 1 0 0 0   79.965   10.886    0.957 
2039  1 1 0 0 0   92.234   10.643    1.021 
2040  1 1 0 0 0  104.504    9.340    1.079 
2041  1 1 0 0 0   78.341    7.292    1.126 
2042  1 1 0 0 0   90.610    4.776    1.160 
2043  1 1 0 0 0  102.879    1.994    1.179 
2044  1 1 0 0 0  115.149  359.109    1.182 
2045  1 1 0 0 0   88.986  356.262    1.169 
2046  1 1 0 0 0  101.255  353.623    1.141 
2047  1 1 0 0 0  113.524  351.372    1.099 
2048  1 1 0 0 0  125.794  349.750    1.044 
2049  1 1 0 0 0   99.631  349.060    0.982 
2050  1 1 0 0 0  111.900  349.641    0.918 
2051  1 1 0 0 0  124.169  351.755    0.860 
2052  1 1 0 0 0  136.439  355.385    0.820 
2053  1 1 0 0 0  110.276    0.017    0.806 
2054  1 1 0 0 0  122.545    4.634    0.820 
2055  1 1 0 0 0  134.814    8.258    0.861 
2056  1 1 0 0 0  147.084   10.365    0.918 
2057  1 1 0 0 0  120.921   10.939    0.982 
2058  1 1 0 0 0  133.190   10.244    1.044 
2059  1 1 0 0 0  145.459    8.620    1.099 
2060  1 1 0 0 0  157.729    6.366    1.141 
2061  1 1 0 0 0  131.566    3.719    1.169 
2062  1 1 0 0 0  143.835    0.878    1.182 
2063  1 1 0 0 0  156.104  357.994    1.179 
2064  1 1 0 0 0  168.374  355.212    1.160 
2065  1 1 0 0 0  142.211  352.691    1.126 
2066  1 1 0 0 0  154.480  350.653    1.079 
2067  1 1 0 0 0  166.749  349.354    1.021 
2068  1 1 0 0 0  179.019  349.116    0.957 
2069  1 1 0 0 0  152.856  350.271    0.894 
2070  1 1 0 0 0  165.125  353.000    0.842 
2071  1 1 0 0 0  177.394  357.107    0.811 
2072  1 1 0 0 0  189.664    1.857    0.808 
2073  1 1 0 0 0  163.501    6.200    0.833 
2074  1 1 0 0 0  175.770    9.266    0.881 
2075  1 1 0 0 0  188.039   10.759    0.942 
2076  1 1 0 0 0  200.309   10.803    1.007 
2077  1 1 0 0 0  174.146    9.706    1.067 
2078  1 1 0 0 0  186.415    7.805    1.117 
2079  1 1 0 0 0  198.684    5.377    1.154 
2080  1 1 0 0 0  210.954    2.639    1.176 
2081  1 1 0 0 0  184.791  359.756    1.183 
2082  1 1 0 0 0  197.060  356.894    1.173 
2083  1 1 0 0 0  209.329  354.194    1.149 
2084  1 1 0 0 0  221.599  351.836    1.109 
2085  1 1 0 0 0  195.436  350.044    1.057 
2086  1 1 0 0 0  207.705  349.116    0.996 
2087  1 1 0 0 0  219.974  349.382    0.932 
2088  1 1 0 0 0  232.244  351.135    0.872 
2089  1 1 0 0 0  206.081  354.458    0.827 
2090  1 1 0 0 0  218.350  358.930    0.806 
2091  1 1 0 0 0  230.619    3.644    0.815 
2092  1 1 0 0 0  242.889    7.560    0.850 
2093  1 1 0 0 0  216.726   10.032    0.904 
2094  1 1 0 0 0  228.995   10.933    0.968 
2095  1 1 0 0 0  241.264   10.495    1.031 
2096  1 1 0 0 0  253.534    9.053    1.087 
2097  1 1 0 0 0  227.371    6.912    1.133 
2098  1 1 0 0 0  239.640    4.341    1.164 
2099  1 1 0 0 0  251.909    1.531    1.181 
2100  1 1 0 0 0  264.179  358.644    1.181 
