M6 pulsation (degrees/h):
  86.9523126419999954
Year  M D h m s  V0(deg)   u(deg)    f:
2071  1 1 0 0 0   33.159    1.302    1.115 
2072  1 1 0 0 0  335.418  359.169    1.118 
2073  1 1 0 0 0  204.531  357.123    1.106 
2074  1 1 0 0 0  146.790  355.398    1.080 
2075  1 1 0 0 0   89.049  354.186    1.049 
2076  1 1 0 0 0   31.308  353.619    1.012 
2077  1 1 0 0 0  260.421  353.772    0.973 
2078  1 1 0 0 0  202.680  354.630    0.941 
2079  1 1 0 0 0  144.939  356.103    0.915 
2080  1 1 0 0 0   87.198  358.026    0.899 
2081  1 1 0 0 0  316.314    0.183    0.893 
2082  1 1 0 0 0  258.573    2.313    0.901 
2083  1 1 0 0 0  200.829    4.176    0.918 
2084  1 1 0 0 0  143.088    5.559    0.944 
2085  1 1 0 0 0   12.204    6.306    0.979 
2086  1 1 0 0 0  314.463    6.336    1.018 
2087  1 1 0 0 0  256.722    5.655    1.055 
2088  1 1 0 0 0  198.978    4.347    1.086 
2089  1 1 0 0 0   68.094    2.550    1.109 
2090  1 1 0 0 0   10.353    0.477    1.118 
2091  1 1 0 0 0  312.612  358.353    1.115 
2092  1 1 0 0 0  254.871  356.409    1.096 
2093  1 1 0 0 0  123.984  354.858    1.067 
2094  1 1 0 0 0   66.243  353.883    1.033 
2095  1 1 0 0 0    8.502  353.589    0.997 
2096  1 1 0 0 0  310.761  354.021    0.959 
2097  1 1 0 0 0  179.874  355.137    0.930 
2098  1 1 0 0 0  122.133  356.808    0.907 
2099  1 1 0 0 0   64.392  358.848    0.896 
2100  1 1 0 0 0    6.651    1.020    0.896 
