 M4 pulsation (degrees/h):
  57.9682084279999970
Year  M D h m s  V0(deg)   u(deg)    f:
2045  1 1 0 0 0  115.532    1.845    0.935 
2046  1 1 0 0 0  317.038    3.025    0.948 
2047  1 1 0 0 0  158.544    3.858    0.968 
2048  1 1 0 0 0    0.050    4.251    0.992 
2049  1 1 0 0 0  152.793    4.162    1.017 
2050  1 1 0 0 0  354.299    3.606    1.041 
2051  1 1 0 0 0  195.804    2.650    1.060 
2052  1 1 0 0 0   37.310    1.402    1.073 
2053  1 1 0 0 0  190.053  359.995    1.077 
2054  1 1 0 0 0   31.559  358.593    1.073 
2055  1 1 0 0 0  233.065  357.345    1.060 
2056  1 1 0 0 0   74.571  356.390    1.040 
2057  1 1 0 0 0  227.313  355.836    1.017 
2058  1 1 0 0 0   68.819  355.750    0.992 
2059  1 1 0 0 0  270.325  356.145    0.968 
2060  1 1 0 0 0  111.831  356.979    0.948 
2061  1 1 0 0 0  264.574  358.164    0.935 
2062  1 1 0 0 0  106.079  359.559    0.928 
2063  1 1 0 0 0  307.585    1.004    0.930 
2064  1 1 0 0 0  149.091    2.333    0.939 
2065  1 1 0 0 0  301.834    3.396    0.955 
2066  1 1 0 0 0  143.340    4.066    0.977 
2067  1 1 0 0 0  344.846    4.274    1.001 
2068  1 1 0 0 0  186.351    4.001    1.026 
2069  1 1 0 0 0  339.094    3.278    1.049 
2070  1 1 0 0 0  180.600    2.193    1.066 
2071  1 1 0 0 0   22.106    0.867    1.075 
2072  1 1 0 0 0  223.612  359.446    1.076 
2073  1 1 0 0 0   16.355  358.082    1.069 
2074  1 1 0 0 0  217.860  356.933    1.053 
2075  1 1 0 0 0   59.366  356.123    1.032 
2076  1 1 0 0 0  260.872  355.745    1.007 
2077  1 1 0 0 0   53.615  355.847    0.982 
2078  1 1 0 0 0  255.121  356.420    0.960 
2079  1 1 0 0 0   96.627  357.403    0.942 
2080  1 1 0 0 0  298.132  358.685    0.931 
2081  1 1 0 0 0   90.875    0.123    0.928 
2082  1 1 0 0 0  292.381    1.543    0.932 
2083  1 1 0 0 0  133.887    2.784    0.945 
2084  1 1 0 0 0  335.393    3.705    0.963 
2085  1 1 0 0 0  128.135    4.204    0.986 
2086  1 1 0 0 0  329.641    4.224    1.011 
2087  1 1 0 0 0  171.147    3.771    1.035 
2088  1 1 0 0 0   12.653    2.897    1.056 
2089  1 1 0 0 0  165.396    1.700    1.070 
2090  1 1 0 0 0    6.902    0.318    1.077 
2091  1 1 0 0 0  208.407  358.902    1.074 
2092  1 1 0 0 0   49.913  357.606    1.063 
2093  1 1 0 0 0  202.656  356.572    1.045 
2094  1 1 0 0 0   44.162  355.922    1.022 
2095  1 1 0 0 0  245.668  355.727    0.997 
2096  1 1 0 0 0   87.174  356.014    0.973 
2097  1 1 0 0 0  239.916  356.758    0.952 
2098  1 1 0 0 0   81.422  357.872    0.937 
2099  1 1 0 0 0  282.928  359.232    0.929 
2100  1 1 0 0 0  124.434    0.681    0.929 
