 M4 pulsation (degrees/h):
  57.9682084279999970
Year  M D h m s  V0(deg)   u(deg)    f:
1950  1 1 0 0 0  142.791  359.095    0.929 
1951  1 1 0 0 0  344.297    0.542    0.928 
1952  1 1 0 0 0  185.803    1.927    0.935 
1953  1 1 0 0 0  338.545    3.092    0.949 
1954  1 1 0 0 0  180.051    3.898    0.969 
1955  1 1 0 0 0   21.557    4.260    0.993 
1956  1 1 0 0 0  223.063    4.140    1.018 
1957  1 1 0 0 0   15.806    3.555    1.042 
1958  1 1 0 0 0  217.311    2.576    1.061 
1959  1 1 0 0 0   58.817    1.313    1.073 
1960  1 1 0 0 0  260.323  359.906    1.077 
1961  1 1 0 0 0   53.066  358.505    1.072 
1962  1 1 0 0 0  254.572  357.272    1.059 
1963  1 1 0 0 0   96.078  356.341    1.039 
1964  1 1 0 0 0  297.583  355.816    1.015 
1965  1 1 0 0 0   90.326  355.761    0.990 
1966  1 1 0 0 0  291.832  356.186    0.966 
1967  1 1 0 0 0  133.338  357.047    0.947 
1968  1 1 0 0 0  334.844  358.247    0.934 
1969  1 1 0 0 0  127.587  359.653    0.928 
1970  1 1 0 0 0  329.092    1.096    0.930 
1971  1 1 0 0 0  170.598    2.412    0.940 
1972  1 1 0 0 0   12.104    3.450    0.957 
1973  1 1 0 0 0  164.847    4.094    0.978 
1974  1 1 0 0 0    6.353    4.271    1.003 
1975  1 1 0 0 0  207.859    3.967    1.028 
1976  1 1 0 0 0   49.364    3.220    1.050 
1977  1 1 0 0 0  202.107    2.113    1.067 
1978  1 1 0 0 0   43.613    0.776    1.076 
1979  1 1 0 0 0  245.119  359.354    1.076 
1980  1 1 0 0 0   86.625  358.002    1.068 
1981  1 1 0 0 0  239.367  356.868    1.052 
1982  1 1 0 0 0   80.873  356.085    1.030 
1983  1 1 0 0 0  282.379  355.737    1.005 
1984  1 1 0 0 0  123.885  355.869    0.981 
1985  1 1 0 0 0  276.628  356.473    0.958 
1986  1 1 0 0 0  118.134  357.479    0.941 
1987  1 1 0 0 0  319.639  358.775    0.931 
1988  1 1 0 0 0  161.145    0.214    0.928 
1989  1 1 0 0 0  313.888    1.631    0.933 
1990  1 1 0 0 0  155.394    2.855    0.946 
1991  1 1 0 0 0  356.900    3.752    0.965 
1992  1 1 0 0 0  198.406    4.219    0.988 
1993  1 1 0 0 0  351.148    4.209    1.013 
1994  1 1 0 0 0  192.654    3.726    1.037 
1995  1 1 0 0 0   34.160    2.828    1.057 
1996  1 1 0 0 0  235.666    1.617    1.071 
1997  1 1 0 0 0   28.409    0.225    1.077 
1998  1 1 0 0 0  229.915  358.812    1.074 
1999  1 1 0 0 0   71.420  357.530    1.062 
2000  1 1 0 0 0  272.926  356.519    1.044 
2001  1 1 0 0 0   65.669  355.894    1.021 
2002  1 1 0 0 0  267.175  355.731    0.996 
2003  1 1 0 0 0  108.681  356.049    0.972 
2004  1 1 0 0 0  310.187  356.818    0.951 
2005  1 1 0 0 0  102.929  357.955    0.936 
2006  1 1 0 0 0  304.435  359.326    0.929 
2007  1 1 0 0 0  145.941    0.774    0.929 
2008  1 1 0 0 0  347.447    2.133    0.937 
2009  1 1 0 0 0  140.190    3.249    0.952 
2010  1 1 0 0 0  341.695    3.988    0.973 
2011  1 1 0 0 0  183.201    4.273    0.997 
2012  1 1 0 0 0   24.707    4.077    1.022 
2013  1 1 0 0 0  177.450    3.422    1.045 
2014  1 1 0 0 0   18.956    2.388    1.063 
2015  1 1 0 0 0  220.462    1.092    1.074 
2016  1 1 0 0 0   61.967  359.675    1.077 
2017  1 1 0 0 0  214.710  358.291    1.070 
2018  1 1 0 0 0   56.216  357.098    1.056 
2019  1 1 0 0 0  257.722  356.226    1.035 
2020  1 1 0 0 0   99.228  355.775    1.011 
2021  1 1 0 0 0  251.971  355.798    0.986 
2022  1 1 0 0 0   93.476  356.298    0.963 
2023  1 1 0 0 0  294.982  357.221    0.945 
2024  1 1 0 0 0  136.488  358.463    0.932 
2025  1 1 0 0 0  289.231  359.888    0.928 
2026  1 1 0 0 0  130.737    1.321    0.931 
2027  1 1 0 0 0  332.243    2.602    0.942 
2028  1 1 0 0 0  173.748    3.583    0.960 
2029  1 1 0 0 0  326.491    4.155    0.982 
2030  1 1 0 0 0  167.997    4.254    1.007 
2031  1 1 0 0 0    9.503    3.874    1.032 
2032  1 1 0 0 0  211.009    3.063    1.053 
2033  1 1 0 0 0    3.751    1.909    1.069 
2034  1 1 0 0 0  205.257    0.548    1.076 
2035  1 1 0 0 0   46.763  359.127    1.075 
2036  1 1 0 0 0  248.269  357.801    1.066 
2037  1 1 0 0 0   41.012  356.716    1.049 
2038  1 1 0 0 0  242.518  355.997    1.026 
2039  1 1 0 0 0   84.023  355.726    1.001 
2040  1 1 0 0 0  285.529  355.936    0.977 
2041  1 1 0 0 0   78.272  356.610    0.955 
2042  1 1 0 0 0  279.778  357.672    0.939 
2043  1 1 0 0 0  121.284  359.002    0.930 
2044  1 1 0 0 0  322.790    0.448    0.928 
