Q1   degrees/h:
   13.39866    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  211.089  0.   1.0072
2077 1 1 0 0 0  183.832  0.   1.0672
2078 1 1 0 0 0  194.201  0.   1.1173
2079 1 1 0 0 0  204.044  0.   1.1543
2080 1 1 0 0 0  213.579  0.   1.1765
2081 1 1 0 0 0  184.539  0.   1.1831
2082 1 1 0 0 0  193.948  0.   1.1738
2083 1 1 0 0 0  203.522  0.   1.1491
2084 1 1 0 0 0  213.437  0.   1.1097
2085 1 1 0 0 0  185.487  0.   1.0575
2086 1 1 0 0 0  196.825  0.   0.9965
2087 1 1 0 0 0  209.367  0.   0.9321
2088 1 1 0 0 0  223.385  0.   0.8725
2089 1 1 0 0 0  200.545  0.   0.8275
2090 1 1 0 0 0  217.282  0.   0.8067
2091 1 1 0 0 0  234.260  0.   0.8148
2092 1 1 0 0 0  250.439  0.   0.8500
2093 1 1 0 0 0  226.745  0.   0.9045
2094 1 1 0 0 0  239.912  0.   0.9679
2095 1 1 0 0 0  251.744  0.   1.0313
2096 1 1 0 0 0  262.571  0.   1.0879
2097 1 1 0 0 0  234.271  0.   1.1333
2098 1 1 0 0 0  243.972  0.   1.1647
2099 1 1 0 0 0  253.434  0.   1.1809
2100 1 1 0 0 0  262.819  0.   1.1814
2101 1 1 0 0 0  233.830  0.   1.1660
2102 1 1 0 0 0  243.513  0.   1.1354
2103 1 1 0 0 0  253.619  0.   1.0909
2104 1 1 0 0 0  264.397  0.   1.0348
2105 1 1 0 0 0  237.730  0.   0.9715
2106 1 1 0 0 0  250.816  0.   0.9079
2107 1 1 0 0 0  265.456  0.   0.8527
2108 1 1 0 0 0  281.564  0.   0.8162
2109 1 1 0 0 0  260.098  0.   0.8063
2110 1 1 0 0 0  276.876  0.   0.8256
2111 1 1 0 0 0  292.540  0.   0.8694
2112 1 1 0 0 0  306.655  0.   0.9284
2113 1 1 0 0 0  280.833  0.   0.9929
2114 1 1 0 0 0  292.235  0.   1.0544
2115 1 1 0 0 0  302.760  0.   1.1070
2116 1 1 0 0 0  312.701  0.   1.1472
2117 1 1 0 0 0  283.851  0.   1.1729
2118 1 1 0 0 0  293.266  0.   1.1830
2119 1 1 0 0 0  302.661  0.   1.1773
2120 1 1 0 0 0  312.183  0.   1.1560
2121 1 1 0 0 0  283.566  0.   1.1197
2122 1 1 0 0 0  293.900  0.   1.0703
2123 1 1 0 0 0  305.021  0.   1.0108
2124 1 1 0 0 0  317.258  0.   0.9466
2125 1 1 0 0 0  292.496  0.   0.8849
2126 1 1 0 0 0  307.742  0.   0.8358
2127 1 1 0 0 0  324.283  0.   0.8089
2128 1 1 0 0 0  341.302  0.   0.8104
2129 1 1 0 0 0  319.318  0.   0.8401
2130 1 1 0 0 0  334.401  0.   0.8910
2131 1 1 0 0 0  347.910  0.   0.9532
2132 1 1 0 0 0    0.015  0.   1.0173
2133 1 1 0 0 0  332.608  0.   1.0761
2134 1 1 0 0 0  342.875  0.   1.1242
2135 1 1 0 0 0  352.654  0.   1.1589
2136 1 1 0 0 0    2.156  0.   1.1786
2137 1 1 0 0 0  333.102  0.   1.1827
2138 1 1 0 0 0  342.528  0.   1.1709
2139 1 1 0 0 0  352.144  0.   1.1437
2140 1 1 0 0 0    2.127  0.   1.1021
2141 1 1 0 0 0  334.295  0.   1.0482
2142 1 1 0 0 0  345.809  0.   0.9861
2143 1 1 0 0 0  358.568  0.   0.9219
2144 1 1 0 0 0   12.848  0.   0.8640
2145 1 1 0 0 0  350.231  0.   0.8223
2146 1 1 0 0 0    7.084  0.   0.8060
2147 1 1 0 0 0   23.993  0.   0.8188
2148 1 1 0 0 0   39.973  0.   0.8577
