M8   degrees/h:
   115.9364    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  283.764  0.   0.8635
1951 1 1 0 0 0  329.688  0.   0.8617
1952 1 1 0 0 0   15.486  0.   0.8745
1953 1 1 0 0 0  323.311  0.   0.9013
1954 1 1 0 0 0    7.948  0.   0.9398
1955 1 1 0 0 0   51.692  0.   0.9866
1956 1 1 0 0 0   94.468  0.   1.0370
1957 1 1 0 0 0   38.776  0.   1.0855
1958 1 1 0 0 0   79.816  0.   1.1255
1959 1 1 0 0 0  120.278  0.   1.1516
1960 1 1 0 0 0  160.447  0.   1.1599
1961 1 1 0 0 0  103.108  0.   1.1490
1962 1 1 0 0 0  143.634  0.   1.1207
1963 1 1 0 0 0  184.772  0.   1.0792
1964 1 1 0 0 0  226.733  0.   1.0302
1965 1 1 0 0 0  172.113  0.   0.9798
1966 1 1 0 0 0  215.987  0.   0.9339
1967 1 1 0 0 0  260.735  0.   0.8969
1968 1 1 0 0 0  306.163  0.   0.8720
1969 1 1 0 0 0  254.477  0.   0.8610
1970 1 1 0 0 0  300.392  0.   0.8649
1971 1 1 0 0 0  346.052  0.   0.8833
1972 1 1 0 0 0   31.154  0.   0.9149
1973 1 1 0 0 0  337.937  0.   0.9572
1974 1 1 0 0 0   21.309  0.   1.0060
1975 1 1 0 0 0   63.712  0.   1.0564
1976 1 1 0 0 0  105.222  0.   1.1022
1977 1 1 0 0 0   48.474  0.   1.1376
1978 1 1 0 0 0   88.785  0.   1.1571
1979 1 1 0 0 0  128.924  0.   1.1579
1980 1 1 0 0 0  169.208  0.   1.1400
1981 1 1 0 0 0  112.406  0.   1.1059
1982 1 1 0 0 0  153.843  0.   1.0608
1983 1 1 0 0 0  196.162  0.   1.0105
1984 1 1 0 0 0  239.447  0.   0.9613
1985 1 1 0 0 0  186.158  0.   0.9183
1986 1 1 0 0 0  231.198  0.   0.8856
1987 1 1 0 0 0  276.820  0.   0.8660
1988 1 1 0 0 0  322.718  0.   0.8608
1989 1 1 0 0 0  271.053  0.   0.8704
1990 1 1 0 0 0  316.529  0.   0.8941
1991 1 1 0 0 0    1.348  0.   0.9302
1992 1 1 0 0 0   45.305  0.   0.9755
1993 1 1 0 0 0  350.778  0.   1.0257
1994 1 1 0 0 0   32.820  0.   1.0751
1995 1 1 0 0 0   74.024  0.   1.1175
1996 1 1 0 0 0  114.595  0.   1.1471
1997 1 1 0 0 0   57.267  0.   1.1597
1998 1 1 0 0 0   97.423  0.   1.1531
1999 1 1 0 0 0  137.847  0.   1.1285
2000 1 1 0 0 0  178.826  0.   1.0895
2001 1 1 0 0 0  123.055  0.   1.0415
2002 1 1 0 0 0  165.745  0.   0.9910
2003 1 1 0 0 0  209.405  0.   0.9437
2004 1 1 0 0 0  253.968  0.   0.9043
2005 1 1 0 0 0  201.742  0.   0.8764
2006 1 1 0 0 0  247.512  0.   0.8622
2007 1 1 0 0 0  293.439  0.   0.8628
2008 1 1 0 0 0  339.186  0.   0.8779
2009 1 1 0 0 0  286.915  0.   0.9068
2010 1 1 0 0 0  331.417  0.   0.9469
2011 1 1 0 0 0   15.008  0.   0.9946
2012 1 1 0 0 0   57.627  0.   1.0451
2013 1 1 0 0 0    1.794  0.   1.0927
2014 1 1 0 0 0   42.724  0.   1.1308
2015 1 1 0 0 0   83.118  0.   1.1542
2016 1 1 0 0 0  123.269  0.   1.1594
2017 1 1 0 0 0   65.964  0.   1.1455
2018 1 1 0 0 0  106.571  0.   1.1148
2019 1 1 0 0 0  147.830  0.   1.0717
