M4   degrees/h:
   57.96821    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  141.882  0.   0.9293
1951 1 1 0 0 0  344.844  0.   0.9283
1952 1 1 0 0 0  187.743  0.   0.9352
1953 1 1 0 0 0  341.655  0.   0.9494
1954 1 1 0 0 0  183.974  0.   0.9694
1955 1 1 0 0 0   25.846  0.   0.9933
1956 1 1 0 0 0  227.234  0.   1.0184
1957 1 1 0 0 0   19.388  0.   1.0419
1958 1 1 0 0 0  219.908  0.   1.0609
1959 1 1 0 0 0   60.139  0.   1.0731
1960 1 1 0 0 0  260.223  0.   1.0770
1961 1 1 0 0 0   51.554  0.   1.0719
1962 1 1 0 0 0  251.817  0.   1.0586
1963 1 1 0 0 0   92.386  0.   1.0389
1964 1 1 0 0 0  293.367  0.   1.0150
1965 1 1 0 0 0   86.056  0.   0.9898
1966 1 1 0 0 0  287.993  0.   0.9664
1967 1 1 0 0 0  130.367  0.   0.9470
1968 1 1 0 0 0  333.082  0.   0.9338
1969 1 1 0 0 0  127.238  0.   0.9279
1970 1 1 0 0 0  330.196  0.   0.9300
1971 1 1 0 0 0  173.026  0.   0.9399
1972 1 1 0 0 0   15.577  0.   0.9565
1973 1 1 0 0 0  168.969  0.   0.9783
1974 1 1 0 0 0   10.654  0.   1.0030
1975 1 1 0 0 0  211.856  0.   1.0278
1976 1 1 0 0 0   52.611  0.   1.0499
1977 1 1 0 0 0  204.237  0.   1.0666
1978 1 1 0 0 0   44.393  0.   1.0757
1979 1 1 0 0 0  244.462  0.   1.0761
1980 1 1 0 0 0   84.604  0.   1.0677
1981 1 1 0 0 0  236.203  0.   1.0516
1982 1 1 0 0 0   76.921  0.   1.0299
1983 1 1 0 0 0  278.081  0.   1.0053
1984 1 1 0 0 0  119.724  0.   0.9805
1985 1 1 0 0 0  273.079  0.   0.9583
1986 1 1 0 0 0  115.599  0.   0.9411
1987 1 1 0 0 0  318.410  0.   0.9306
1988 1 1 0 0 0  161.359  0.   0.9278
1989 1 1 0 0 0  315.526  0.   0.9330
