LAMB degrees/h:
   29.45563    
Year M D h m s  V0+u(deg)     f
2122 1 1 0 0 0  344.501  0.   0.9903
2123 1 1 0 0 0  255.845  0.   1.0027
2124 1 1 0 0 0  166.947  0.   1.0149
2125 1 1 0 0 0   64.762  0.   1.0256
2126 1 1 0 0 0  335.469  0.   1.0333
2127 1 1 0 0 0  246.064  0.   1.0373
2128 1 1 0 0 0  156.624  0.   1.0371
2129 1 1 0 0 0   54.160  0.   1.0327
2130 1 1 0 0 0  324.884  0.   1.0246
2131 1 1 0 0 0  235.787  0.   1.0137
2132 1 1 0 0 0  146.914  0.   1.0014
2133 1 1 0 0 0   45.221  0.   0.9890
2134 1 1 0 0 0  316.824  0.   0.9779
2135 1 1 0 0 0  228.625  0.   0.9694
2136 1 1 0 0 0  140.566  0.   0.9644
2137 1 1 0 0 0   39.505  0.   0.9633
2138 1 1 0 0 0  311.487  0.   0.9664
2139 1 1 0 0 0  223.369  0.   0.9732
2140 1 1 0 0 0  135.077  0.   0.9831
2141 1 1 0 0 0   33.505  0.   0.9950
2142 1 1 0 0 0  304.754  0.   1.0076
2143 1 1 0 0 0  215.767  0.   1.0193
2144 1 1 0 0 0  126.576  0.   1.0290
2145 1 1 0 0 0   24.162  0.   1.0354
2146 1 1 0 0 0  294.736  0.   1.0378
2147 1 1 0 0 0  205.302  0.   1.0359
2148 1 1 0 0 0  115.944  0.   1.0299
2149 1 1 0 0 0   13.662  0.   1.0206
2150 1 1 0 0 0  284.651  0.   1.0090
2151 1 1 0 0 0  195.869  0.   0.9965
2152 1 1 0 0 0  107.331  0.   0.9845
2153 1 1 0 0 0    5.955  0.   0.9743
2154 1 1 0 0 0  277.816  0.   0.9670
2155 1 1 0 0 0  189.793  0.   0.9635
2156 1 1 0 0 0  101.796  0.   0.9640
2157 1 1 0 0 0    0.684  0.   0.9686
2158 1 1 0 0 0  272.508  0.   0.9768
2159 1 1 0 0 0  184.136  0.   0.9876
2160 1 1 0 0 0   95.537  0.   0.9999
2161 1 1 0 0 0  353.627  0.   1.0123
2162 1 1 0 0 0  264.557  0.   1.0234
2163 1 1 0 0 0  175.297  0.   1.0319
2164 1 1 0 0 0   85.913  0.   1.0368
2165 1 1 0 0 0  343.405  0.   1.0376
2166 1 1 0 0 0  253.994  0.   1.0340
2167 1 1 0 0 0  164.681  0.   1.0267
2168 1 1 0 0 0   75.541  0.   1.0164
2169 1 1 0 0 0  333.545  0.   1.0042
2170 1 1 0 0 0  244.861  0.   0.9917
2171 1 1 0 0 0  156.412  0.   0.9803
2172 1 1 0 0 0   68.175  0.   0.9711
2173 1 1 0 0 0  327.026  0.   0.9652
2174 1 1 0 0 0  239.025  0.   0.9632
2175 1 1 0 0 0  151.017  0.   0.9653
2176 1 1 0 0 0   62.929  0.   0.9714
2177 1 1 0 0 0  321.619  0.   0.9807
2178 1 1 0 0 0  233.164  0.   0.9922
2179 1 1 0 0 0  144.466  0.   1.0047
2180 1 1 0 0 0   55.534  0.   1.0168
2181 1 1 0 0 0  313.316  0.   1.0271
2182 1 1 0 0 0  224.002  0.   1.0343
2183 1 1 0 0 0  134.585  0.   1.0376
2184 1 1 0 0 0   45.147  0.   1.0367
2185 1 1 0 0 0  302.699  0.   1.0316
2186 1 1 0 0 0  213.448  0.   1.0230
2187 1 1 0 0 0  124.383  0.   1.0118
2188 1 1 0 0 0   35.552  0.   0.9994
2189 1 1 0 0 0  293.894  0.   0.9871
