MN4  degrees/h:
   57.42383    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  336.999  0.   1.0069
2077 1 1 0 0 0   28.063  0.   0.9820
2078 1 1 0 0 0  141.426  0.   0.9596
2079 1 1 0 0 0  255.201  0.   0.9420
2080 1 1 0 0 0    9.275  0.   0.9310
2081 1 1 0 0 0   61.680  0.   0.9277
2082 1 1 0 0 0  175.892  0.   0.9324
2083 1 1 0 0 0  289.925  0.   0.9446
2084 1 1 0 0 0   43.637  0.   0.9631
2085 1 1 0 0 0   95.099  0.   0.9861
2086 1 1 0 0 0  207.896  0.   1.0111
2087 1 1 0 0 0  320.234  0.   1.0354
2088 1 1 0 0 0   72.129  0.   1.0560
2089 1 1 0 0 0  121.880  0.   1.0704
2090 1 1 0 0 0  233.268  0.   1.0768
2091 1 1 0 0 0  344.622  0.   1.0743
2092 1 1 0 0 0   96.098  0.   1.0633
2093 1 1 0 0 0  146.015  0.   1.0451
2094 1 1 0 0 0  258.146  0.   1.0222
2095 1 1 0 0 0   10.738  0.   0.9971
2096 1 1 0 0 0  123.814  0.   0.9729
2097 1 1 0 0 0  175.523  0.   0.9521
2098 1 1 0 0 0  289.430  0.   0.9369
2099 1 1 0 0 0   43.582  0.   0.9288
2100 1 1 0 0 0  157.823  0.   0.9286
2101 1 1 0 0 0  210.154  0.   0.9363
2102 1 1 0 0 0  324.077  0.   0.9511
2103 1 1 0 0 0   77.634  0.   0.9716
2104 1 1 0 0 0  190.738  0.   0.9957
2105 1 1 0 0 0  241.530  0.   1.0208
2106 1 1 0 0 0  353.686  0.   1.0439
2107 1 1 0 0 0  105.450  0.   1.0624
2108 1 1 0 0 0  216.939  0.   1.0739
2109 1 1 0 0 0  266.456  0.   1.0769
2110 1 1 0 0 0   17.838  0.   1.0710
2111 1 1 0 0 0  129.403  0.   1.0570
2112 1 1 0 0 0  241.285  0.   1.0367
2113 1 1 0 0 0  291.751  0.   1.0125
2114 1 1 0 0 0   44.531  0.   0.9875
2115 1 1 0 0 0  157.791  0.   0.9643
2116 1 1 0 0 0  271.479  0.   0.9455
2117 1 1 0 0 0  323.677  0.   0.9329
2118 1 1 0 0 0   77.883  0.   0.9278
2119 1 1 0 0 0  192.114  0.   0.9306
2120 1 1 0 0 0  306.201  0.   0.9412
2121 1 1 0 0 0  358.173  0.   0.9585
2122 1 1 0 0 0  111.562  0.   0.9806
2123 1 1 0 0 0  224.478  0.   1.0054
2124 1 1 0 0 0  336.912  0.   1.0301
2125 1 1 0 0 0   27.068  0.   1.0518
2126 1 1 0 0 0  138.709  0.   1.0678
2127 1 1 0 0 0  250.128  0.   1.0761
2128 1 1 0 0 0    1.475  0.   1.0756
2129 1 1 0 0 0   51.082  0.   1.0664
2130 1 1 0 0 0  162.756  0.   1.0497
2131 1 1 0 0 0  274.791  0.   1.0276
2132 1 1 0 0 0   27.273  0.   1.0028
2133 1 1 0 0 0   78.418  0.   0.9781
2134 1 1 0 0 0  191.853  0.   0.9564
2135 1 1 0 0 0  305.684  0.   0.9398
2136 1 1 0 0 0   59.794  0.   0.9300
2137 1 1 0 0 0  112.198  0.   0.9279
2138 1 1 0 0 0  226.392  0.   0.9339
2139 1 1 0 0 0  340.383  0.   0.9472
2140 1 1 0 0 0   94.021  0.   0.9665
2141 1 1 0 0 0  145.409  0.   0.9901
2142 1 1 0 0 0  258.136  0.   1.0152
2143 1 1 0 0 0   10.391  0.   1.0390
2144 1 1 0 0 0  122.236  0.   1.0588
2145 1 1 0 0 0  171.936  0.   1.0720
2146 1 1 0 0 0  283.318  0.   1.0770
2147 1 1 0 0 0   34.671  0.   1.0731
2148 1 1 0 0 0  146.191  0.   1.0608
2149 1 1 0 0 0  196.153  0.   1.0417
2150 1 1 0 0 0  308.365  0.   1.0182
2151 1 1 0 0 0   61.024  0.   0.9931
2152 1 1 0 0 0  174.168  0.   0.9693
2153 1 1 0 0 0  225.955  0.   0.9492
2154 1 1 0 0 0  339.900  0.   0.9351
2155 1 1 0 0 0   94.088  0.   0.9282
2156 1 1 0 0 0  208.318  0.   0.9293
2157 1 1 0 0 0  260.620  0.   0.9382
2158 1 1 0 0 0   14.502  0.   0.9540
2159 1 1 0 0 0  127.979  0.   0.9753
2160 1 1 0 0 0  241.016  0.   0.9997
2161 1 1 0 0 0  291.722  0.   1.0247
2162 1 1 0 0 0   43.817  0.   1.0473
2163 1 1 0 0 0  155.519  0.   1.0648
2164 1 1 0 0 0  266.985  0.   1.0750
2165 1 1 0 0 0  316.495  0.   1.0765
2166 1 1 0 0 0   67.907  0.   1.0692
2167 1 1 0 0 0  179.505  0.   1.0541
2168 1 1 0 0 0  291.458  0.   1.0330
2169 1 1 0 0 0  341.980  0.   1.0085
2170 1 1 0 0 0   94.848  0.   0.9835
2171 1 1 0 0 0  208.172  0.   0.9609
2172 1 1 0 0 0  321.932  0.   0.9430
2173 1 1 0 0 0   14.160  0.   0.9315
2174 1 1 0 0 0  128.392  0.   0.9277
2175 1 1 0 0 0  242.600  0.   0.9318
2176 1 1 0 0 0  356.659  0.   0.9436
2177 1 1 0 0 0   48.563  0.   0.9618
2178 1 1 0 0 0  161.888  0.   0.9845
2179 1 1 0 0 0  274.716  0.   1.0095
2180 1 1 0 0 0   27.085  0.   1.0339
2181 1 1 0 0 0   77.176  0.   1.0548
2182 1 1 0 0 0  188.782  0.   1.0697
2183 1 1 0 0 0  300.169  0.   1.0766
2184 1 1 0 0 0   51.529  0.   1.0747
2185 1 1 0 0 0  101.156  0.   1.0642
2186 1 1 0 0 0  212.890  0.   1.0465
2187 1 1 0 0 0  324.983  0.   1.0237
2188 1 1 0 0 0   77.553  0.   0.9988
2189 1 1 0 0 0  128.764  0.   0.9743
2190 1 1 0 0 0  242.260  0.   0.9533
2191 1 1 0 0 0  356.155  0.   0.9377
2192 1 1 0 0 0  110.286  0.   0.9291
2193 1 1 0 0 0  162.715  0.   0.9284
2194 1 1 0 0 0  276.857  0.   0.9355
2195 1 1 0 0 0   30.810  0.   0.9499
2196 1 1 0 0 0  144.404  0.   0.9701
2197 1 1 0 0 0  195.705  0.   0.9941
2198 1 1 0 0 0  308.344  0.   1.0192
2199 1 1 0 0 0   60.538  0.   1.0425
