2N2  degrees/h:
   27.89536    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  289.139  0.   1.0034
2077 1 1 0 0 0  161.991  0.   0.9909
2078 1 1 0 0 0   85.589  0.   0.9796
2079 1 1 0 0 0    9.392  0.   0.9706
2080 1 1 0 0 0  293.346  0.   0.9649
2081 1 1 0 0 0  166.869  0.   0.9632
2082 1 1 0 0 0   90.891  0.   0.9656
2083 1 1 0 0 0   14.824  0.   0.9719
2084 1 1 0 0 0  298.597  0.   0.9814
2085 1 1 0 0 0  171.647  0.   0.9930
2086 1 1 0 0 0   94.960  0.   1.0056
2087 1 1 0 0 0   18.048  0.   1.0175
2088 1 1 0 0 0  300.910  0.   1.0276
2089 1 1 0 0 0  173.104  0.   1.0346
2090 1 1 0 0 0   95.715  0.   1.0377
2091 1 1 0 0 0   18.309  0.   1.0365
2092 1 1 0 0 0  300.964  0.   1.0312
2093 1 1 0 0 0  173.242  0.   1.0223
2094 1 1 0 0 0   96.224  0.   1.0110
2095 1 1 0 0 0   19.437  0.   0.9986
2096 1 1 0 0 0  302.891  0.   0.9864
2097 1 1 0 0 0  176.065  0.   0.9757
2098 1 1 0 0 0   99.936  0.   0.9679
2099 1 1 0 0 0   23.928  0.   0.9638
2100 1 1 0 0 0  307.965  0.   0.9636
2101 1 1 0 0 0  181.448  0.   0.9676
2102 1 1 0 0 0  105.326  0.   0.9752
2103 1 1 0 0 0   29.022  0.   0.9857
2104 1 1 0 0 0  312.490  0.   0.9978
2105 1 1 0 0 0  185.205  0.   1.0103
2106 1 1 0 0 0  108.200  0.   1.0217
2107 1 1 0 0 0   30.998  0.   1.0307
2108 1 1 0 0 0  313.660  0.   1.0363
2109 1 1 0 0 0  185.735  0.   1.0377
2110 1 1 0 0 0  108.342  0.   1.0349
2111 1 1 0 0 0   31.042  0.   1.0281
2112 1 1 0 0 0  313.899  0.   1.0182
2113 1 1 0 0 0  186.449  0.   1.0062
2114 1 1 0 0 0  109.756  0.   0.9937
2115 1 1 0 0 0   33.302  0.   0.9820
2116 1 1 0 0 0  317.062  0.   0.9724
2117 1 1 0 0 0  190.482  0.   0.9658
2118 1 1 0 0 0  114.501  0.   0.9632
2119 1 1 0 0 0   38.534  0.   0.9647
2120 1 1 0 0 0  322.493  0.   0.9701
2121 1 1 0 0 0  195.799  0.   0.9790
2122 1 1 0 0 0  119.411  0.   0.9903
2123 1 1 0 0 0   42.785  0.   1.0027
2124 1 1 0 0 0  325.918  0.   1.0149
2125 1 1 0 0 0  198.314  0.   1.0256
2126 1 1 0 0 0  121.051  0.   1.0333
2127 1 1 0 0 0   43.676  0.   1.0373
2128 1 1 0 0 0  326.267  0.   1.0371
2129 1 1 0 0 0  198.389  0.   1.0327
2130 1 1 0 0 0  121.144  0.   1.0246
2131 1 1 0 0 0   44.077  0.   1.0137
2132 1 1 0 0 0  327.235  0.   1.0014
2133 1 1 0 0 0  200.129  0.   0.9890
2134 1 1 0 0 0  123.763  0.   0.9779
2135 1 1 0 0 0   47.594  0.   0.9694
2136 1 1 0 0 0  331.567  0.   0.9644
2137 1 1 0 0 0  205.085  0.   0.9633
2138 1 1 0 0 0  129.098  0.   0.9664
2139 1 1 0 0 0   53.011  0.   0.9732
2140 1 1 0 0 0  336.743  0.   0.9831
2141 1 1 0 0 0  209.758  0.   0.9950
2142 1 1 0 0 0  133.038  0.   1.0076
2143 1 1 0 0 0   56.081  0.   1.0193
2144 1 1 0 0 0  338.921  0.   1.0290
2145 1 1 0 0 0  211.088  0.   1.0354
2146 1 1 0 0 0  133.697  0.   1.0378
2147 1 1 0 0 0   56.289  0.   1.0359
2148 1 1 0 0 0  338.967  0.   1.0299
2149 1 1 0 0 0  211.265  0.   1.0206
2150 1 1 0 0 0  134.291  0.   1.0090
2151 1 1 0 0 0   57.534  0.   0.9965
2152 1 1 0 0 0  341.021  0.   0.9845
2153 1 1 0 0 0  214.236  0.   0.9743
