MS4  degrees/h:
   58.98410    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  128.286  0.   1.0034
2077 1 1 0 0 0  204.712  0.   0.9909
2078 1 1 0 0 0  305.755  0.   0.9796
2079 1 1 0 0 0   47.003  0.   0.9706
2080 1 1 0 0 0  148.401  0.   0.9649
2081 1 1 0 0 0  225.497  0.   0.9632
2082 1 1 0 0 0  326.964  0.   0.9656
2083 1 1 0 0 0   68.342  0.   0.9719
2084 1 1 0 0 0  169.559  0.   0.9814
2085 1 1 0 0 0  246.184  0.   0.9930
2086 1 1 0 0 0  346.944  0.   1.0056
2087 1 1 0 0 0   87.473  0.   1.0175
2088 1 1 0 0 0  187.783  0.   1.0276
2089 1 1 0 0 0  263.552  0.   1.0346
2090 1 1 0 0 0    3.607  0.   1.0377
2091 1 1 0 0 0  103.645  0.   1.0365
2092 1 1 0 0 0  203.744  0.   1.0312
2093 1 1 0 0 0  279.596  0.   1.0223
2094 1 1 0 0 0   20.023  0.   1.0110
2095 1 1 0 0 0  120.680  0.   0.9986
2096 1 1 0 0 0  221.579  0.   0.9864
2097 1 1 0 0 0  298.327  0.   0.9757
2098 1 1 0 0 0   39.641  0.   0.9679
2099 1 1 0 0 0  141.079  0.   0.9638
2100 1 1 0 0 0  242.560  0.   0.9636
2101 1 1 0 0 0  319.620  0.   0.9676
2102 1 1 0 0 0   60.943  0.   0.9752
2103 1 1 0 0 0  162.082  0.   0.9857
2104 1 1 0 0 0  262.995  0.   0.9978
2105 1 1 0 0 0  339.285  0.   1.0103
2106 1 1 0 0 0   79.724  0.   1.0217
2107 1 1 0 0 0  179.967  0.   1.0307
2108 1 1 0 0 0  280.073  0.   1.0363
2109 1 1 0 0 0  355.725  0.   1.0377
2110 1 1 0 0 0   95.778  0.   1.0349
2111 1 1 0 0 0  195.921  0.   1.0281
2112 1 1 0 0 0  296.224  0.   1.0182
2113 1 1 0 0 0   12.351  0.   1.0062
2114 1 1 0 0 0  113.102  0.   0.9937
2115 1 1 0 0 0  214.093  0.   0.9820
2116 1 1 0 0 0  315.299  0.   0.9724
2117 1 1 0 0 0   32.291  0.   0.9658
2118 1 1 0 0 0  133.755  0.   0.9632
2119 1 1 0 0 0  235.231  0.   0.9647
2120 1 1 0 0 0  336.636  0.   0.9701
2121 1 1 0 0 0   53.516  0.   0.9790
2122 1 1 0 0 0  154.571  0.   0.9903
2123 1 1 0 0 0  255.390  0.   1.0027
2124 1 1 0 0 0  355.969  0.   1.0149
2125 1 1 0 0 0   71.941  0.   1.0256
2126 1 1 0 0 0  172.123  0.   1.0333
2127 1 1 0 0 0  272.193  0.   1.0373
2128 1 1 0 0 0   12.228  0.   1.0371
2129 1 1 0 0 0   87.925  0.   1.0327
2130 1 1 0 0 0  188.122  0.   1.0246
2131 1 1 0 0 0  288.501  0.   1.0137
2132 1 1 0 0 0   29.104  0.   1.0014
2133 1 1 0 0 0  105.569  0.   0.9890
2134 1 1 0 0 0  206.648  0.   0.9779
2135 1 1 0 0 0  307.924  0.   0.9694
2136 1 1 0 0 0   49.340  0.   0.9644
2137 1 1 0 0 0  126.437  0.   0.9633
2138 1 1 0 0 0  227.895  0.   0.9664
2139 1 1 0 0 0  329.251  0.   0.9732
2140 1 1 0 0 0   70.433  0.   0.9831
2141 1 1 0 0 0  147.020  0.   0.9950
2142 1 1 0 0 0  247.745  0.   1.0076
2143 1 1 0 0 0  348.234  0.   1.0193
2144 1 1 0 0 0   88.517  0.   1.0290
2145 1 1 0 0 0  164.261  0.   1.0354
2146 1 1 0 0 0  264.313  0.   1.0378
2147 1 1 0 0 0    4.351  0.   1.0359
2148 1 1 0 0 0  104.471  0.   1.0299
2149 1 1 0 0 0  180.347  0.   1.0206
2150 1 1 0 0 0  280.813  0.   1.0090
2151 1 1 0 0 0   21.505  0.   0.9965
2152 1 1 0 0 0  122.439  0.   0.9845
2153 1 1 0 0 0  199.224  0.   0.9743
2154 1 1 0 0 0  300.559  0.   0.9670
2155 1 1 0 0 0   42.013  0.   0.9635
2156 1 1 0 0 0  143.490  0.   0.9640
2157 1 1 0 0 0  220.536  0.   0.9686
2158 1 1 0 0 0  321.837  0.   0.9768
2159 1 1 0 0 0   62.938  0.   0.9876
2160 1 1 0 0 0  163.816  0.   0.9999
2161 1 1 0 0 0  240.063  0.   1.0123
2162 1 1 0 0 0  340.471  0.   1.0234
2163 1 1 0 0 0   80.684  0.   1.0319
2164 1 1 0 0 0  180.778  0.   1.0368
2165 1 1 0 0 0  256.427  0.   1.0376
2166 1 1 0 0 0  356.493  0.   1.0340
2167 1 1 0 0 0   96.654  0.   1.0267
2168 1 1 0 0 0  196.991  0.   1.0164
2169 1 1 0 0 0  273.148  0.   1.0042
2170 1 1 0 0 0   13.942  0.   0.9917
2171 1 1 0 0 0  114.967  0.   0.9803
2172 1 1 0 0 0  216.207  0.   0.9711
2173 1 1 0 0 0  293.215  0.   0.9652
2174 1 1 0 0 0   34.691  0.   0.9632
2175 1 1 0 0 0  136.157  0.   0.9653
2176 1 1 0 0 0  237.547  0.   0.9714
2177 1 1 0 0 0  314.393  0.   0.9807
2178 1 1 0 0 0   55.416  0.   0.9922
2179 1 1 0 0 0  156.192  0.   1.0047
2180 1 1 0 0 0  256.737  0.   1.0168
2181 1 1 0 0 0  332.677  0.   1.0271
2182 1 1 0 0 0   72.840  0.   1.0343
2183 1 1 0 0 0  172.896  0.   1.0376
2184 1 1 0 0 0  272.936  0.   1.0367
2185 1 1 0 0 0  348.643  0.   1.0316
2186 1 1 0 0 0   88.870  0.   1.0230
2187 1 1 0 0 0  189.279  0.   1.0118
2188 1 1 0 0 0  289.924  0.   0.9994
2189 1 1 0 0 0    6.424  0.   0.9871
2190 1 1 0 0 0  107.534  0.   0.9764
2191 1 1 0 0 0  208.842  0.   0.9683
2192 1 1 0 0 0  310.269  0.   0.9639
2193 1 1 0 0 0   27.376  0.   0.9635
2194 1 1 0 0 0  128.812  0.   0.9672
2195 1 1 0 0 0  230.148  0.   0.9746
2196 1 1 0 0 0  331.305  0.   0.9849
2197 1 1 0 0 0   47.850  0.   0.9970
2198 1 1 0 0 0  148.532  0.   1.0095
2199 1 1 0 0 0  248.989  0.   1.0211
