M1   degrees/h:
   14.49669    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0  138.991  0.   0.0000
1951 1 1 0 0 0   49.904  0.   0.0000
1952 1 1 0 0 0    0.891  0.   0.0000
1953 1 1 0 0 0  254.673  0.   0.0000
1954 1 1 0 0 0  146.624  0.   0.0000
1955 1 1 0 0 0   50.745  0.   0.0000
1956 1 1 0 0 0  355.693  0.   0.0000
1957 1 1 0 0 0  255.971  0.   0.0000
1958 1 1 0 0 0  146.498  0.   0.0000
1959 1 1 0 0 0   37.188  0.   0.0000
1960 1 1 0 0 0  307.063  0.   0.0000
1961 1 1 0 0 0  231.325  0.   0.0000
1962 1 1 0 0 0  136.020  0.   0.0000
1963 1 1 0 0 0   26.262  0.   0.0000
1964 1 1 0 0 0  280.396  0.   0.0000
1965 1 1 0 0 0  197.499  0.   0.0000
1966 1 1 0 0 0  132.729  0.   0.0000
1967 1 1 0 0 0   29.566  0.   0.0000
1968 1 1 0 0 0  283.162  0.   0.0000
1969 1 1 0 0 0  193.877  0.   0.0000
1970 1 1 0 0 0  138.589  0.   0.0000
1971 1 1 0 0 0   37.941  0.   0.0000
1972 1 1 0 0 0  290.728  0.   0.0000
1973 1 1 0 0 0  193.565  0.   0.0000
1974 1 1 0 0 0  139.490  0.   0.0000
1975 1 1 0 0 0   41.854  0.   0.0000
1976 1 1 0 0 0  291.732  0.   0.0000
1977 1 1 0 0 0  175.849  0.   0.0000
1978 1 1 0 0 0  103.151  0.   0.0000
1979 1 1 0 0 0   27.661  0.   0.0000
1980 1 1 0 0 0  282.444  0.   0.0000
1981 1 1 0 0 0  159.187  0.   0.0000
1982 1 1 0 0 0   58.405  0.   0.0000
1983 1 1 0 0 0  359.252  0.   0.0000
1984 1 1 0 0 0  279.141  0.   0.0000
1985 1 1 0 0 0  160.449  0.   0.0000
1986 1 1 0 0 0   56.696  0.   0.0000
1987 1 1 0 0 0  353.093  0.   0.0000
1988 1 1 0 0 0  285.390  0.   0.0000
1989 1 1 0 0 0  168.667  0.   0.0000
1990 1 1 0 0 0   63.672  0.   0.0000
1991 1 1 0 0 0  352.706  0.   0.0000
1992 1 1 0 0 0  289.884  0.   0.0000
1993 1 1 0 0 0  174.251  0.   0.0000
1994 1 1 0 0 0   65.237  0.   0.0000
1995 1 1 0 0 0  331.557  0.   0.0000
1996 1 1 0 0 0  270.150  0.   0.0000
1997 1 1 0 0 0  166.330  0.   0.0000
1998 1 1 0 0 0   56.099  0.   0.0000
1999 1 1 0 0 0  305.673  0.   0.0000
2000 1 1 0 0 0  214.202  0.   0.0000
2001 1 1 0 0 0  145.441  0.   0.0000
2002 1 1 0 0 0   52.095  0.   0.0000
2003 1 1 0 0 0  303.772  0.   0.0000
2004 1 1 0 0 0  204.725  0.   0.0000
2005 1 1 0 0 0  139.722  0.   0.0000
2006 1 1 0 0 0   58.223  0.   0.0000
2007 1 1 0 0 0  311.444  0.   0.0000
2008 1 1 0 0 0  210.380  0.   0.0000
2009 1 1 0 0 0  141.084  0.   0.0000
2010 1 1 0 0 0   64.770  0.   0.0000
2011 1 1 0 0 0  318.104  0.   0.0000
2012 1 1 0 0 0  211.975  0.   0.0000
2013 1 1 0 0 0  121.637  0.   0.0000
2014 1 1 0 0 0   56.450  0.   0.0000
2015 1 1 0 0 0  313.993  0.   0.0000
2016 1 1 0 0 0  201.979  0.   0.0000
2017 1 1 0 0 0   82.780  0.   0.0000
2018 1 1 0 0 0    5.652  0.   0.0000
2019 1 1 0 0 0  298.652  0.   0.0000
2020 1 1 0 0 0  196.476  0.   0.0000
2021 1 1 0 0 0   75.674  0.   0.0000
2022 1 1 0 0 0  344.474  0.   0.0000
2023 1 1 0 0 0  294.448  0.   0.0000
2024 1 1 0 0 0  202.043  0.   0.0000
2025 1 1 0 0 0   82.313  0.   0.0000
2026 1 1 0 0 0  347.690  0.   0.0000
2027 1 1 0 0 0  298.132  0.   0.0000
2028 1 1 0 0 0  209.727  0.   0.0000
2029 1 1 0 0 0   89.610  0.   0.0000
2030 1 1 0 0 0  348.678  0.   0.0000
2031 1 1 0 0 0  286.565  0.   0.0000
2032 1 1 0 0 0  207.885  0.   0.0000
2033 1 1 0 0 0   87.915  0.   0.0000
2034 1 1 0 0 0  336.560  0.   0.0000
2035 1 1 0 0 0  237.123  0.   0.0000
2036 1 1 0 0 0  172.534  0.   0.0000
2037 1 1 0 0 0   76.041  0.   0.0000
2038 1 1 0 0 0  328.534  0.   0.0000
2039 1 1 0 0 0  221.000  0.   0.0000
2040 1 1 0 0 0  141.371  0.   0.0000
2041 1 1 0 0 0   73.019  0.   0.0000
2042 1 1 0 0 0  333.119  0.   0.0000
2043 1 1 0 0 0  225.888  0.   0.0000
2044 1 1 0 0 0  140.911  0.   0.0000
2045 1 1 0 0 0   78.401  0.   0.0000
2046 1 1 0 0 0  341.370  0.   0.0000
2047 1 1 0 0 0  233.434  0.   0.0000
2048 1 1 0 0 0  140.812  0.   0.0000
2049 1 1 0 0 0   75.037  0.   0.0000
2050 1 1 0 0 0  343.298  0.   0.0000
2051 1 1 0 0 0  233.294  0.   0.0000
2052 1 1 0 0 0  125.152  0.   0.0000
2053 1 1 0 0 0   27.730  0.   0.0000
2054 1 1 0 0 0  322.041  0.   0.0000
2055 1 1 0 0 0  223.288  0.   0.0000
2056 1 1 0 0 0  113.009  0.   0.0000
2057 1 1 0 0 0  356.488  0.   0.0000
2058 1 1 0 0 0  290.596  0.   0.0000
2059 1 1 0 0 0  220.655  0.   0.0000
2060 1 1 0 0 0  116.083  0.   0.0000
2061 1 1 0 0 0  358.397  0.   0.0000
2062 1 1 0 0 0  286.434  0.   0.0000
2063 1 1 0 0 0  226.895  0.   0.0000
2064 1 1 0 0 0  124.474  0.   0.0000
2065 1 1 0 0 0    5.757  0.   0.0000
2066 1 1 0 0 0  285.443  0.   0.0000
2067 1 1 0 0 0  228.901  0.   0.0000
2068 1 1 0 0 0  128.731  0.   0.0000
2069 1 1 0 0 0    6.531  0.   0.0000
2070 1 1 0 0 0  265.154  0.   0.0000
2071 1 1 0 0 0  196.867  0.   0.0000
2072 1 1 0 0 0  116.406  0.   0.0000
2073 1 1 0 0 0  357.236  0.   0.0000
2074 1 1 0 0 0  246.203  0.   0.0000
2075 1 1 0 0 0  148.032  0.   0.0000
2076 1 1 0 0 0   91.371  0.   0.0000
2077 1 1 0 0 0  354.307  0.   0.0000
2078 1 1 0 0 0  246.996  0.   0.0000
2079 1 1 0 0 0  144.768  0.   0.0000
2080 1 1 0 0 0   85.915  0.   0.0000
2081 1 1 0 0 0    0.789  0.   0.0000
2082 1 1 0 0 0  255.154  0.   0.0000
2083 1 1 0 0 0  151.383  0.   0.0000
2084 1 1 0 0 0   85.691  0.   0.0000
2085 1 1 0 0 0    5.909  0.   0.0000
2086 1 1 0 0 0  260.912  0.   0.0000
2087 1 1 0 0 0  152.533  0.   0.0000
2088 1 1 0 0 0   62.947  0.   0.0000
2089 1 1 0 0 0  349.648  0.   0.0000
2090 1 1 0 0 0  253.951  0.   0.0000
2091 1 1 0 0 0  142.941  0.   0.0000
2092 1 1 0 0 0   33.263  0.   0.0000
2093 1 1 0 0 0  294.003  0.   0.0000
2094 1 1 0 0 0  235.637  0.   0.0000
2095 1 1 0 0 0  138.996  0.   0.0000
2096 1 1 0 0 0   30.473  0.   0.0000
2097 1 1 0 0 0  281.904  0.   0.0000
2098 1 1 0 0 0  231.246  0.   0.0000
2099 1 1 0 0 0  145.224  0.   0.0000
