J1   degrees/h:
   15.58544    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  277.197  0.   1.0147
2077 1 1 0 0 0   20.880  0.   1.0678
2078 1 1 0 0 0  111.554  0.   1.1108
2079 1 1 0 0 0  202.959  0.   1.1416
2080 1 1 0 0 0  294.822  0.   1.1598
2081 1 1 0 0 0   40.958  0.   1.1651
2082 1 1 0 0 0  133.016  0.   1.1576
2083 1 1 0 0 0  224.820  0.   1.1373
2084 1 1 0 0 0  316.122  0.   1.1044
2085 1 1 0 0 0   60.697  0.   1.0594
2086 1 1 0 0 0  150.119  0.   1.0051
2087 1 1 0 0 0  238.106  0.   0.9462
2088 1 1 0 0 0  324.398  0.   0.8904
2089 1 1 0 0 0   63.007  0.   0.8475
2090 1 1 0 0 0  146.325  0.   0.8275
2091 1 1 0 0 0  229.385  0.   0.8353
2092 1 1 0 0 0  313.305  0.   0.8690
2093 1 1 0 0 0   52.851  0.   0.9205
2094 1 1 0 0 0  140.111  0.   0.9791
2095 1 1 0 0 0  228.936  0.   1.0363
2096 1 1 0 0 0  319.008  0.   1.0857
2097 1 1 0 0 0   64.056  0.   1.1243
2098 1 1 0 0 0  155.670  0.   1.1502
2099 1 1 0 0 0  247.644  0.   1.1633
2100 1 1 0 0 0  339.741  0.   1.1637
2101 1 1 0 0 0   85.789  0.   1.1513
2102 1 1 0 0 0  177.430  0.   1.1260
2103 1 1 0 0 0  268.464  0.   1.0883
2104 1 1 0 0 0  358.598  0.   1.0394
2105 1 1 0 0 0  101.555  0.   0.9824
2106 1 1 0 0 0  188.908  0.   0.9236
2107 1 1 0 0 0  274.511  0.   0.8716
2108 1 1 0 0 0  358.509  0.   0.8367
2109 1 1 0 0 0   95.628  0.   0.8271
2110 1 1 0 0 0  178.902  0.   0.8457
2111 1 1 0 0 0  263.382  0.   0.8874
2112 1 1 0 0 0  349.569  0.   0.9428
2113 1 1 0 0 0   91.518  0.   1.0019
2114 1 1 0 0 0  180.867  0.   1.0566
2115 1 1 0 0 0  271.333  0.   1.1021
2116 1 1 0 0 0    2.598  0.   1.1358
2117 1 1 0 0 0  108.439  0.   1.1568
2118 1 1 0 0 0  200.489  0.   1.1650
2119 1 1 0 0 0  292.570  0.   1.1604
2120 1 1 0 0 0   24.453  0.   1.1431
2121 1 1 0 0 0  129.949  0.   1.1128
2122 1 1 0 0 0  220.670  0.   1.0705
2123 1 1 0 0 0  310.369  0.   1.0180
2124 1 1 0 0 0   38.711  0.   0.9596
2125 1 1 0 0 0  139.444  0.   0.9021
2126 1 1 0 0 0  224.381  0.   0.8555
2127 1 1 0 0 0  307.911  0.   0.8296
2128 1 1 0 0 0   30.926  0.   0.8311
2129 1 1 0 0 0  128.607  0.   0.8596
2130 1 1 0 0 0  213.721  0.   0.9078
2131 1 1 0 0 0  300.591  0.   0.9657
2132 1 1 0 0 0   29.088  0.   1.0238
2133 1 1 0 0 0  132.961  0.   1.0755
2134 1 1 0 0 0  223.773  0.   1.1166
2135 1 1 0 0 0  315.270  0.   1.1454
2136 1 1 0 0 0   47.184  0.   1.1615
2137 1 1 0 0 0  153.335  0.   1.1647
2138 1 1 0 0 0  245.368  0.   1.1552
2139 1 1 0 0 0  337.108  0.   1.1329
2140 1 1 0 0 0   68.306  0.   1.0979
2141 1 1 0 0 0  172.725  0.   1.0512
2142 1 1 0 0 0  261.936  0.   0.9957
2143 1 1 0 0 0  349.666  0.   0.9367
2144 1 1 0 0 0   75.669  0.   0.8823
2145 1 1 0 0 0  174.031  0.   0.8425
2146 1 1 0 0 0  257.228  0.   0.8268
2147 1 1 0 0 0  340.358  0.   0.8392
