MF   degrees/h:
   1.098033    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0   46.960  0.   1.0099
2077 1 1 0 0 0  334.327  0.   1.1482
2078 1 1 0 0 0  237.186  0.   1.2730
2079 1 1 0 0 0  141.304  0.   1.3714
2080 1 1 0 0 0   46.189  0.   1.4330
2081 1 1 0 0 0  337.792  0.   1.4517
2082 1 1 0 0 0  242.994  0.   1.4255
2083 1 1 0 0 0  147.780  0.   1.3571
2084 1 1 0 0 0   51.723  0.   1.2535
2085 1 1 0 0 0  340.674  0.   1.1251
2086 1 1 0 0 0  241.310  0.   0.9865
2087 1 1 0 0 0  139.314  0.   0.8529
2088 1 1 0 0 0   34.140  0.   0.7400
2089 1 1 0 0 0  312.015  0.   0.6611
2090 1 1 0 0 0  201.151  0.   0.6264
2091 1 1 0 0 0   89.789  0.   0.6400
2092 1 1 0 0 0  340.086  0.   0.7000
2093 1 1 0 0 0  259.752  0.   0.7994
2094 1 1 0 0 0  156.400  0.   0.9257
2095 1 1 0 0 0   55.950  0.   1.0640
2096 1 1 0 0 0  317.750  0.   1.1986
2097 1 1 0 0 0  247.524  0.   1.3150
2098 1 1 0 0 0  151.993  0.   1.4001
2099 1 1 0 0 0   57.060  0.   1.4456
2100 1 1 0 0 0  322.326  0.   1.4469
2101 1 1 0 0 0  253.787  0.   1.4037
2102 1 1 0 0 0  158.300  0.   1.3206
2103 1 1 0 0 0   61.784  0.   1.2060
2104 1 1 0 0 0  323.695  0.   1.0721
2105 1 1 0 0 0  249.744  0.   0.9332
2106 1 1 0 0 0  146.568  0.   0.8058
2107 1 1 0 0 0   40.087  0.   0.7048
2108 1 1 0 0 0  290.533  0.   0.6422
2109 1 1 0 0 0  205.540  0.   0.6259
2110 1 1 0 0 0   94.591  0.   0.6580
2111 1 1 0 0 0  345.963  0.   0.7344
2112 1 1 0 0 0  240.590  0.   0.8456
2113 1 1 0 0 0  164.783  0.   0.9788
2114 1 1 0 0 0   65.286  0.   1.1175
2115 1 1 0 0 0  327.782  0.   1.2466
2116 1 1 0 0 0  231.661  0.   1.3520
2117 1 1 0 0 0  162.779  0.   1.4228
2118 1 1 0 0 0   67.969  0.   1.4515
2119 1 1 0 0 0  333.211  0.   1.4353
2120 1 1 0 0 0  238.127  0.   1.3760
2121 1 1 0 0 0  168.666  0.   1.2793
2122 1 1 0 0 0   71.610  0.   1.1556
2123 1 1 0 0 0  332.742  0.   1.0180
2124 1 1 0 0 0  231.402  0.   0.8819
2125 1 1 0 0 0  153.321  0.   0.7628
2126 1 1 0 0 0   45.566  0.   0.6754
2127 1 1 0 0 0  295.110  0.   0.6301
2128 1 1 0 0 0  183.663  0.   0.6327
2129 1 1 0 0 0   99.754  0.   0.6828
2130 1 1 0 0 0  352.341  0.   0.7741
2131 1 1 0 0 0  248.257  0.   0.8954
2132 1 1 0 0 0  147.204  0.   1.0324
2133 1 1 0 0 0   74.914  0.   1.1696
2134 1 1 0 0 0  338.014  0.   1.2910
2135 1 1 0 0 0  242.286  0.   1.3840
2136 1 1 0 0 0  147.254  0.   1.4391
2137 1 1 0 0 0   78.881  0.   1.4505
2138 1 1 0 0 0  344.043  0.   1.4172
2139 1 1 0 0 0  248.724  0.   1.3426
2140 1 1 0 0 0  152.489  0.   1.2342
2141 1 1 0 0 0   81.168  0.   1.1030
2142 1 1 0 0 0  341.421  0.   0.9641
2143 1 1 0 0 0  238.946  0.   0.8329
2144 1 1 0 0 0  133.226  0.   0.7247
2145 1 1 0 0 0   50.626  0.   0.6524
2146 1 1 0 0 0  299.528  0.   0.6253
2147 1 1 0 0 0  188.303  0.   0.6466
2148 1 1 0 0 0   79.022  0.   0.7136
2149 1 1 0 0 0  359.233  0.   0.8183
2150 1 1 0 0 0  256.385  0.   0.9476
2151 1 1 0 0 0  156.347  0.   1.0864
2152 1 1 0 0 0   58.452  0.   1.2190
2153 1 1 0 0 0  348.429  0.   1.3311
2154 1 1 0 0 0  253.027  0.   1.4103
2155 1 1 0 0 0  158.148  0.   1.4489
2156 1 1 0 0 0   63.415  0.   1.4429
2157 1 1 0 0 0  354.811  0.   1.3928
2158 1 1 0 0 0  259.187  0.   1.3039
2159 1 1 0 0 0  162.460  0.   1.1853
2160 1 1 0 0 0   64.055  0.   1.0496
2161 1 1 0 0 0  349.687  0.   0.9114
2162 1 1 0 0 0  245.992  0.   0.7874
2163 1 1 0 0 0  138.978  0.   0.6918
2164 1 1 0 0 0   29.017  0.   0.6363
2165 1 1 0 0 0  303.929  0.   0.6279
2166 1 1 0 0 0  193.240  0.   0.6675
2167 1 1 0 0 0   85.108  0.   0.7503
2168 1 1 0 0 0  340.272  0.   0.8660
2169 1 1 0 0 0  264.947  0.   1.0012
2170 1 1 0 0 0  165.813  0.   1.1394
2171 1 1 0 0 0   68.575  0.   1.2656
2172 1 1 0 0 0  332.622  0.   1.3660
2173 1 1 0 0 0  263.843  0.   1.4304
2174 1 1 0 0 0  169.063  0.   1.4519
2175 1 1 0 0 0   74.282  0.   1.4286
2176 1 1 0 0 0  339.104  0.   1.3628
2177 1 1 0 0 0  269.484  0.   1.2608
2178 1 1 0 0 0  172.174  0.   1.1339
2179 1 1 0 0 0   72.956  0.   0.9955
2180 1 1 0 0 0  331.151  0.   0.8612
2181 1 1 0 0 0  252.532  0.   0.7462
2182 1 1 0 0 0  144.267  0.   0.6650
2183 1 1 0 0 0   33.514  0.   0.6273
2184 1 1 0 0 0  282.112  0.   0.6376
2185 1 1 0 0 0  198.582  0.   0.6950
2186 1 1 0 0 0   91.695  0.   0.7920
2187 1 1 0 0 0  348.139  0.   0.9169
2188 1 1 0 0 0  247.514  0.   1.0549
2189 1 1 0 0 0  175.554  0.   1.1906
2190 1 1 0 0 0   78.883  0.   1.3082
2191 1 1 0 0 0  343.294  0.   1.3957
2192 1 1 0 0 0  248.338  0.   1.4440
2193 1 1 0 0 0  179.968  0.   1.4481
2194 1 1 0 0 0   85.091  0.   1.4078
2195 1 1 0 0 0  349.651  0.   1.3271
2196 1 1 0 0 0  253.214  0.   1.2142
2197 1 1 0 0 0  181.607  0.   1.0808
2198 1 1 0 0 0   81.468  0.   0.9420
2199 1 1 0 0 0  338.492  0.   0.8135
