MSF  degrees/h:
   1.015896    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  229.570  0.   1.0034
2077 1 1 0 0 0  153.197  0.   0.9909
2078 1 1 0 0 0   52.444  0.   0.9796
2079 1 1 0 0 0  311.691  0.   0.9706
2080 1 1 0 0 0  210.938  0.   0.9649
2081 1 1 0 0 0  134.566  0.   0.9632
2082 1 1 0 0 0   33.812  0.   0.9656
2083 1 1 0 0 0  293.060  0.   0.9719
2084 1 1 0 0 0  192.306  0.   0.9814
2085 1 1 0 0 0  115.934  0.   0.9930
2086 1 1 0 0 0   15.185  0.   1.0056
2087 1 1 0 0 0  274.428  0.   1.0175
2088 1 1 0 0 0  173.679  0.   1.0276
2089 1 1 0 0 0   97.306  0.   1.0346
2090 1 1 0 0 0  356.553  0.   1.0377
2091 1 1 0 0 0  255.800  0.   1.0365
2092 1 1 0 0 0  155.047  0.   1.0312
2093 1 1 0 0 0   78.674  0.   1.0223
2094 1 1 0 0 0  337.921  0.   1.0110
2095 1 1 0 0 0  237.168  0.   0.9986
2096 1 1 0 0 0  136.415  0.   0.9864
2097 1 1 0 0 0   60.042  0.   0.9757
2098 1 1 0 0 0  319.289  0.   0.9679
2099 1 1 0 0 0  218.536  0.   0.9638
2100 1 1 0 0 0  117.783  0.   0.9636
2101 1 1 0 0 0   41.414  0.   0.9676
2102 1 1 0 0 0  300.661  0.   0.9752
2103 1 1 0 0 0  199.908  0.   0.9857
2104 1 1 0 0 0   99.155  0.   0.9978
2105 1 1 0 0 0   22.783  0.   1.0103
2106 1 1 0 0 0  282.029  0.   1.0217
2107 1 1 0 0 0  181.276  0.   1.0307
2108 1 1 0 0 0   80.523  0.   1.0363
2109 1 1 0 0 0    4.155  0.   1.0377
2110 1 1 0 0 0  263.402  0.   1.0349
2111 1 1 0 0 0  162.649  0.   1.0281
2112 1 1 0 0 0   61.896  0.   1.0182
2113 1 1 0 0 0  345.527  0.   1.0062
2114 1 1 0 0 0  244.774  0.   0.9937
2115 1 1 0 0 0  144.021  0.   0.9820
2116 1 1 0 0 0   43.268  0.   0.9724
2117 1 1 0 0 0  326.895  0.   0.9658
2118 1 1 0 0 0  226.142  0.   0.9632
2119 1 1 0 0 0  125.389  0.   0.9647
2120 1 1 0 0 0   24.636  0.   0.9701
2121 1 1 0 0 0  308.263  0.   0.9790
2122 1 1 0 0 0  207.510  0.   0.9903
2123 1 1 0 0 0  106.757  0.   1.0027
2124 1 1 0 0 0    6.004  0.   1.0149
2125 1 1 0 0 0  289.635  0.   1.0256
2126 1 1 0 0 0  188.882  0.   1.0333
2127 1 1 0 0 0   88.129  0.   1.0373
2128 1 1 0 0 0  347.376  0.   1.0371
2129 1 1 0 0 0  271.003  0.   1.0327
2130 1 1 0 0 0  170.250  0.   1.0246
2131 1 1 0 0 0   69.497  0.   1.0137
2132 1 1 0 0 0  328.744  0.   1.0014
2133 1 1 0 0 0  252.372  0.   0.9890
2134 1 1 0 0 0  151.619  0.   0.9779
2135 1 1 0 0 0   50.866  0.   0.9694
2136 1 1 0 0 0  310.112  0.   0.9644
2137 1 1 0 0 0  233.744  0.   0.9633
2138 1 1 0 0 0  132.991  0.   0.9664
2139 1 1 0 0 0   32.238  0.   0.9732
2140 1 1 0 0 0  291.489  0.   0.9831
2141 1 1 0 0 0  215.116  0.   0.9950
2142 1 1 0 0 0  114.363  0.   1.0076
2143 1 1 0 0 0   13.610  0.   1.0193
2144 1 1 0 0 0  272.857  0.   1.0290
2145 1 1 0 0 0  196.488  0.   1.0354
2146 1 1 0 0 0   95.731  0.   1.0378
2147 1 1 0 0 0  354.982  0.   1.0359
2148 1 1 0 0 0  254.225  0.   1.0299
2149 1 1 0 0 0  177.856  0.   1.0206
2150 1 1 0 0 0   77.099  0.   1.0090
2151 1 1 0 0 0  336.350  0.   0.9965
2152 1 1 0 0 0  235.601  0.   0.9845
2153 1 1 0 0 0  159.224  0.   0.9743
2154 1 1 0 0 0   58.475  0.   0.9670
2155 1 1 0 0 0  317.718  0.   0.9635
2156 1 1 0 0 0  216.969  0.   0.9640
2157 1 1 0 0 0  140.600  0.   0.9686
2158 1 1 0 0 0   39.843  0.   0.9768
2159 1 1 0 0 0  299.094  0.   0.9876
2160 1 1 0 0 0  198.337  0.   0.9999
2161 1 1 0 0 0  121.968  0.   1.0123
2162 1 1 0 0 0   21.212  0.   1.0234
2163 1 1 0 0 0  280.462  0.   1.0319
2164 1 1 0 0 0  179.706  0.   1.0368
2165 1 1 0 0 0  103.337  0.   1.0376
2166 1 1 0 0 0    2.580  0.   1.0340
2167 1 1 0 0 0  261.831  0.   1.0267
2168 1 1 0 0 0  161.074  0.   1.0164
2169 1 1 0 0 0   84.713  0.   1.0042
2170 1 1 0 0 0  343.956  0.   0.9917
2171 1 1 0 0 0  243.207  0.   0.9803
2172 1 1 0 0 0  142.450  0.   0.9711
2173 1 1 0 0 0   66.081  0.   0.9652
2174 1 1 0 0 0  325.324  0.   0.9632
2175 1 1 0 0 0  224.575  0.   0.9653
2176 1 1 0 0 0  123.818  0.   0.9714
2177 1 1 0 0 0   47.449  0.   0.9807
2178 1 1 0 0 0  306.692  0.   0.9922
2179 1 1 0 0 0  205.943  0.   1.0047
2180 1 1 0 0 0  105.186  0.   1.0168
2181 1 1 0 0 0   28.817  0.   1.0271
2182 1 1 0 0 0  288.060  0.   1.0343
2183 1 1 0 0 0  187.311  0.   1.0376
