MM   degrees/h:
  0.5443747    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  279.574  0.   1.0104
2077 1 1 0 0 0   21.360  0.   0.9669
2078 1 1 0 0 0  110.083  0.   0.9277
2079 1 1 0 0 0  198.805  0.   0.8968
2080 1 1 0 0 0  287.527  0.   0.8774
2081 1 1 0 0 0   29.314  0.   0.8715
2082 1 1 0 0 0  118.037  0.   0.8797
2083 1 1 0 0 0  206.759  0.   0.9012
2084 1 1 0 0 0  295.481  0.   0.9338
2085 1 1 0 0 0   37.268  0.   0.9742
2086 1 1 0 0 0  125.992  0.   1.0177
2087 1 1 0 0 0  214.712  0.   1.0597
2088 1 1 0 0 0  303.437  0.   1.0952
2089 1 1 0 0 0   45.224  0.   1.1200
2090 1 1 0 0 0  133.946  0.   1.1309
2091 1 1 0 0 0  222.668  0.   1.1266
2092 1 1 0 0 0  311.390  0.   1.1078
2093 1 1 0 0 0   53.177  0.   1.0765
2094 1 1 0 0 0  141.899  0.   1.0368
2095 1 1 0 0 0  230.621  0.   0.9934
2096 1 1 0 0 0  319.344  0.   0.9511
2097 1 1 0 0 0   61.131  0.   0.9145
2098 1 1 0 0 0  149.853  0.   0.8877
2099 1 1 0 0 0  238.575  0.   0.8734
2100 1 1 0 0 0  327.298  0.   0.8730
2101 1 1 0 0 0   69.086  0.   0.8866
2102 1 1 0 0 0  157.809  0.   0.9127
2103 1 1 0 0 0  246.530  0.   0.9487
2104 1 1 0 0 0  335.253  0.   0.9908
2105 1 1 0 0 0   77.040  0.   1.0345
2106 1 1 0 0 0  165.762  0.   1.0745
2107 1 1 0 0 0  254.484  0.   1.1063
2108 1 1 0 0 0  343.206  0.   1.1259
2109 1 1 0 0 0   84.995  0.   1.1310
2110 1 1 0 0 0  173.718  0.   1.1210
2111 1 1 0 0 0  262.439  0.   1.0970
2112 1 1 0 0 0  351.162  0.   1.0620
2113 1 1 0 0 0   92.951  0.   1.0201
2114 1 1 0 0 0  181.673  0.   0.9765
2115 1 1 0 0 0  270.396  0.   0.9360
2116 1 1 0 0 0  359.118  0.   0.9029
2117 1 1 0 0 0  100.904  0.   0.8806
2118 1 1 0 0 0  189.627  0.   0.8716
2119 1 1 0 0 0  278.349  0.   0.8767
2120 1 1 0 0 0    7.071  0.   0.8953
2121 1 1 0 0 0  108.858  0.   0.9257
2122 1 1 0 0 0  197.580  0.   0.9646
2123 1 1 0 0 0  286.303  0.   1.0078
2124 1 1 0 0 0   15.025  0.   1.0506
2125 1 1 0 0 0  116.813  0.   1.0880
2126 1 1 0 0 0  205.536  0.   1.1155
2127 1 1 0 0 0  294.259  0.   1.1297
2128 1 1 0 0 0   22.980  0.   1.1289
2129 1 1 0 0 0  124.768  0.   1.1132
2130 1 1 0 0 0  213.489  0.   1.0845
2131 1 1 0 0 0  302.212  0.   1.0463
2132 1 1 0 0 0   30.935  0.   1.0033
2133 1 1 0 0 0  132.720  0.   0.9602
2134 1 1 0 0 0  221.442  0.   0.9220
2135 1 1 0 0 0  310.165  0.   0.8928
2136 1 1 0 0 0   38.887  0.   0.8755
2137 1 1 0 0 0  140.676  0.   0.8719
2138 1 1 0 0 0  229.398  0.   0.8824
2139 1 1 0 0 0  318.120  0.   0.9058
2140 1 1 0 0 0   46.845  0.   0.9399
2141 1 1 0 0 0  148.631  0.   0.9811
2142 1 1 0 0 0  237.354  0.   1.0247
2143 1 1 0 0 0  326.076  0.   1.0660
2144 1 1 0 0 0   54.798  0.   1.1000
2145 1 1 0 0 0  156.587  0.   1.1227
2146 1 1 0 0 0  245.308  0.   1.1312
2147 1 1 0 0 0  334.031  0.   1.1245
2148 1 1 0 0 0   62.752  0.   1.1035
2149 1 1 0 0 0  164.541  0.   1.0706
2150 1 1 0 0 0  253.261  0.   1.0299
2151 1 1 0 0 0  341.985  0.   0.9863
2152 1 1 0 0 0   70.709  0.   0.9447
2153 1 1 0 0 0  172.494  0.   0.9094
2154 1 1 0 0 0  261.219  0.   0.8845
2155 1 1 0 0 0  349.938  0.   0.8724
2156 1 1 0 0 0   78.663  0.   0.8743
2157 1 1 0 0 0  180.452  0.   0.8900
2158 1 1 0 0 0  269.172  0.   0.9180
2159 1 1 0 0 0  357.896  0.   0.9552
2160 1 1 0 0 0   86.617  0.   0.9979
2161 1 1 0 0 0  188.405  0.   1.0413
2162 1 1 0 0 0  277.126  0.   1.0803
2163 1 1 0 0 0    5.850  0.   1.1103
2164 1 1 0 0 0   94.570  0.   1.1278
2165 1 1 0 0 0  196.359  0.   1.1304
2166 1 1 0 0 0  285.079  0.   1.1180
2167 1 1 0 0 0   13.804  0.   1.0920
2168 1 1 0 0 0  102.524  0.   1.0556
2169 1 1 0 0 0  204.316  0.   1.0131
2170 1 1 0 0 0  293.037  0.   0.9697
2171 1 1 0 0 0   21.762  0.   0.9300
2172 1 1 0 0 0  110.481  0.   0.8985
2173 1 1 0 0 0  212.271  0.   0.8782
2174 1 1 0 0 0  300.990  0.   0.8715
2175 1 1 0 0 0   29.715  0.   0.8788
2176 1 1 0 0 0  118.436  0.   0.8995
2177 1 1 0 0 0  220.224  0.   0.9315
2178 1 1 0 0 0  308.944  0.   0.9714
2179 1 1 0 0 0   37.669  0.   1.0149
2180 1 1 0 0 0  126.389  0.   1.0571
2181 1 1 0 0 0  228.178  0.   1.0932
2182 1 1 0 0 0  316.898  0.   1.1188
2183 1 1 0 0 0   45.622  0.   1.1306
2184 1 1 0 0 0  134.343  0.   1.1274
2185 1 1 0 0 0  236.130  0.   1.1093
2186 1 1 0 0 0  324.851  0.   1.0789
2187 1 1 0 0 0   53.575  0.   1.0396
2188 1 1 0 0 0  142.295  0.   0.9962
2189 1 1 0 0 0  244.084  0.   0.9536
2190 1 1 0 0 0  332.809  0.   0.9166
2191 1 1 0 0 0   61.528  0.   0.8891
2192 1 1 0 0 0  150.253  0.   0.8740
2193 1 1 0 0 0  252.038  0.   0.8726
2194 1 1 0 0 0  340.766  0.   0.8853
2195 1 1 0 0 0   69.486  0.   0.9107
2196 1 1 0 0 0  158.206  0.   0.9462
2197 1 1 0 0 0  259.995  0.   0.9881
2198 1 1 0 0 0  348.720  0.   1.0317
2199 1 1 0 0 0   77.439  0.   1.0721
