OO1  degrees/h:
   16.13910    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0   44.583  0.   1.0118
2077 1 1 0 0 0  333.847  0.   1.2343
2078 1 1 0 0 0  238.657  0.   1.4494
2079 1 1 0 0 0  145.458  0.   1.6280
2080 1 1 0 0 0   53.484  0.   1.7442
2081 1 1 0 0 0  349.436  0.   1.7800
2082 1 1 0 0 0  257.973  0.   1.7299
2083 1 1 0 0 0  165.841  0.   1.6017
2084 1 1 0 0 0   72.364  0.   1.4149
2085 1 1 0 0 0    4.104  0.   1.1960
2086 1 1 0 0 0  265.436  0.   0.9758
2087 1 1 0 0 0  162.708  0.   0.7799
2088 1 1 0 0 0   55.101  0.   0.6272
2089 1 1 0 0 0  329.798  0.   0.5278
2090 1 1 0 0 0  213.529  0.   0.4861
2091 1 1 0 0 0   96.506  0.   0.5022
2092 1 1 0 0 0  342.001  0.   0.5760
2093 1 1 0 0 0  259.426  0.   0.7060
2094 1 1 0 0 0  154.611  0.   0.8846
2095 1 1 0 0 0   54.265  0.   1.0969
2096 1 1 0 0 0  317.414  0.   1.3196
2097 1 1 0 0 0  250.450  0.   1.5246
2098 1 1 0 0 0  157.810  0.   1.6817
2099 1 1 0 0 0   66.129  0.   1.7682
2100 1 1 0 0 0  334.769  0.   1.7707
2101 1 1 0 0 0  270.491  0.   1.6885
2102 1 1 0 0 0  177.922  0.   1.5348
2103 1 1 0 0 0   83.717  0.   1.3323
2104 1 1 0 0 0  347.040  0.   1.1098
2105 1 1 0 0 0  274.259  0.   0.8957
2106 1 1 0 0 0  169.714  0.   0.7147
2107 1 1 0 0 0   60.114  0.   0.5820
2108 1 1 0 0 0  305.836  0.   0.5049
2109 1 1 0 0 0  216.172  0.   0.4855
2110 1 1 0 0 0   99.775  0.   0.5240
2111 1 1 0 0 0  346.905  0.   0.6199
2112 1 1 0 0 0  238.997  0.   0.7697
2113 1 1 0 0 0  163.350  0.   0.9641
2114 1 1 0 0 0   64.480  0.   1.1836
2115 1 1 0 0 0  328.720  0.   1.4028
2116 1 1 0 0 0  235.141  0.   1.5922
2117 1 1 0 0 0  170.314  0.   1.7247
2118 1 1 0 0 0   78.830  0.   1.7795
2119 1 1 0 0 0  347.432  0.   1.7486
2120 1 1 0 0 0  255.508  0.   1.6367
2121 1 1 0 0 0  189.757  0.   1.4605
2122 1 1 0 0 0   94.700  0.   1.2467
2123 1 1 0 0 0  356.808  0.   1.0244
2124 1 1 0 0 0  255.087  0.   0.8210
2125 1 1 0 0 0  175.952  0.   0.6570
2126 1 1 0 0 0   64.411  0.   0.5453
2127 1 1 0 0 0  308.762  0.   0.4905
2128 1 1 0 0 0  191.608  0.   0.4935
2129 1 1 0 0 0  103.593  0.   0.5545
2130 1 1 0 0 0  352.573  0.   0.6720
2131 1 1 0 0 0  246.637  0.   0.8405
2132 1 1 0 0 0  145.358  0.   1.0469
2133 1 1 0 0 0   75.155  0.   1.2703
2134 1 1 0 0 0  340.344  0.   1.4814
2135 1 1 0 0 0  247.391  0.   1.6516
2136 1 1 0 0 0  155.551  0.   1.7557
2137 1 1 0 0 0   91.541  0.   1.7777
2138 1 1 0 0 0    0.012  0.   1.7141
2139 1 1 0 0 0  267.711  0.   1.5748
2140 1 1 0 0 0  173.950  0.   1.3810
2141 1 1 0 0 0  105.261  0.   1.1598
2142 1 1 0 0 0    6.003  0.   0.9419
2143 1 1 0 0 0  262.536  0.   0.7519
2144 1 1 0 0 0  154.097  0.   0.6074
2145 1 1 0 0 0   68.070  0.   0.5172
2146 1 1 0 0 0  311.449  0.   0.4848
2147 1 1 0 0 0  194.630  0.   0.5102
2148 1 1 0 0 0   80.768  0.   0.5932
2149 1 1 0 0 0  359.023  0.   0.7318
2150 1 1 0 0 0  254.983  0.   0.9171
2151 1 1 0 0 0  155.273  0.   1.1329
2152 1 1 0 0 0   58.898  0.   1.3546
2153 1 1 0 0 0  352.255  0.   1.5538
2154 1 1 0 0 0  259.820  0.   1.7010
2155 1 1 0 0 0  168.228  0.   1.7745
2156 1 1 0 0 0   76.867  0.   1.7630
2157 1 1 0 0 0   12.484  0.   1.6681
2158 1 1 0 0 0  279.699  0.   1.5047
2159 1 1 0 0 0  185.160  0.   1.2969
2160 1 1 0 0 0   87.991  0.   1.0740
2161 1 1 0 0 0   14.563  0.   0.8637
2162 1 1 0 0 0  269.223  0.   0.6898
2163 1 1 0 0 0  158.809  0.   0.5657
2164 1 1 0 0 0   43.914  0.   0.4979
