K1   degrees/h:
   15.04107    
Year M D h m s  V0+u(deg)     f
1950 1 1 0 0 0    8.469  0.   1.1109
1951 1 1 0 0 0   10.811  0.   1.1121
1952 1 1 0 0 0   13.084  0.   1.1038
1953 1 1 0 0 0   16.087  0.   1.0859
1954 1 1 0 0 0   17.635  0.   1.0593
1955 1 1 0 0 0   18.510  0.   1.0252
1956 1 1 0 0 0   18.502  0.   0.9864
1957 1 1 0 0 0   18.424  0.   0.9470
1958 1 1 0 0 0   16.250  0.   0.9126
1959 1 1 0 0 0   13.115  0.   0.8893
1960 1 1 0 0 0    9.427  0.   0.8817
1961 1 1 0 0 0    6.758  0.   0.8917
1962 1 1 0 0 0    3.737  0.   0.9168
1963 1 1 0 0 0    1.712  0.   0.9522
1964 1 1 0 0 0    0.801  0.   0.9918
1965 1 1 0 0 0    1.911  0.   1.0303
1966 1 1 0 0 0    2.892  0.   1.0634
1967 1 1 0 0 0    4.516  0.   1.0889
1968 1 1 0 0 0    6.574  0.   1.1054
1969 1 1 0 0 0    9.859  0.   1.1125
1970 1 1 0 0 0   12.197  0.   1.1100
1971 1 1 0 0 0   14.391  0.   1.0979
1972 1 1 0 0 0   16.248  0.   1.0766
1973 1 1 0 0 0   18.551  0.   1.0468
1974 1 1 0 0 0   19.107  0.   1.0106
1975 1 1 0 0 0   18.707  0.   0.9710
1976 1 1 0 0 0   17.214  0.   0.9328
1977 1 1 0 0 0   15.616  0.   0.9020
1978 1 1 0 0 0   12.204  0.   0.8843
1979 1 1 0 0 0    8.457  0.   0.8835
1980 1 1 0 0 0    4.992  0.   0.8998
1981 1 1 0 0 0    3.306  0.   0.9297
1982 1 1 0 0 0    1.713  0.   0.9674
1983 1 1 0 0 0    1.219  0.   1.0071
1984 1 1 0 0 0    1.698  0.   1.0438
1985 1 1 0 0 0    3.942  0.   1.0743
1986 1 1 0 0 0    5.759  0.   1.0964
1987 1 1 0 0 0    7.931  0.   1.1093
1988 1 1 0 0 0   10.264  0.   1.1127
1989 1 1 0 0 0   13.561  0.   1.1065
1990 1 1 0 0 0   15.648  0.   1.0907
1991 1 1 0 0 0   17.319  0.   1.0660
1992 1 1 0 0 0   18.366  0.   1.0335
1993 1 1 0 0 0   19.560  0.   0.9954
1994 1 1 0 0 0   18.746  0.   0.9557
1995 1 1 0 0 0   16.820  0.   0.9197
1996 1 1 0 0 0   13.876  0.   0.8933
1997 1 1 0 0 0   11.242  0.   0.8819
1998 1 1 0 0 0    7.532  0.   0.8879
1999 1 1 0 0 0    4.327  0.   0.9100
2000 1 1 0 0 0    2.058  0.   0.9436
2001 1 1 0 0 0    1.880  0.   0.9829
2002 1 1 0 0 0    1.785  0.   1.0219
2003 1 1 0 0 0    2.589  0.   1.0565
2004 1 1 0 0 0    4.086  0.   1.0839
