N2   degrees/h:
   28.43973    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  208.712  0.   1.0034
2077 1 1 0 0 0  183.351  0.   0.9909
2078 1 1 0 0 0  195.672  0.   0.9796
2079 1 1 0 0 0  208.198  0.   0.9706
2080 1 1 0 0 0  220.874  0.   0.9649
2081 1 1 0 0 0  196.183  0.   0.9632
2082 1 1 0 0 0  208.928  0.   0.9656
2083 1 1 0 0 0  221.583  0.   0.9719
2084 1 1 0 0 0  234.078  0.   0.9814
2085 1 1 0 0 0  208.916  0.   0.9930
2086 1 1 0 0 0  220.952  0.   1.0056
2087 1 1 0 0 0  232.761  0.   1.0175
2088 1 1 0 0 0  244.346  0.   1.0276
2089 1 1 0 0 0  218.328  0.   1.0346
2090 1 1 0 0 0  229.661  0.   1.0377
2091 1 1 0 0 0  240.977  0.   1.0365
2092 1 1 0 0 0  252.354  0.   1.0312
2093 1 1 0 0 0  226.419  0.   1.0223
2094 1 1 0 0 0  238.123  0.   1.0110
2095 1 1 0 0 0  250.059  0.   0.9986
2096 1 1 0 0 0  262.235  0.   0.9864
2097 1 1 0 0 0  237.196  0.   0.9757
2098 1 1 0 0 0  249.789  0.   0.9679
2099 1 1 0 0 0  262.503  0.   0.9638
2100 1 1 0 0 0  275.262  0.   0.9636
2101 1 1 0 0 0  250.534  0.   0.9676
2102 1 1 0 0 0  263.134  0.   0.9752
2103 1 1 0 0 0  275.552  0.   0.9857
2104 1 1 0 0 0  287.742  0.   0.9978
2105 1 1 0 0 0  262.245  0.   1.0103
2106 1 1 0 0 0  273.962  0.   1.0217
2107 1 1 0 0 0  285.483  0.   1.0307
2108 1 1 0 0 0  296.866  0.   1.0363
2109 1 1 0 0 0  270.730  0.   1.0377
2110 1 1 0 0 0  282.060  0.   1.0349
2111 1 1 0 0 0  293.482  0.   1.0281
2112 1 1 0 0 0  305.062  0.   1.0182
2113 1 1 0 0 0  279.400  0.   1.0062
2114 1 1 0 0 0  291.429  0.   0.9937
2115 1 1 0 0 0  303.698  0.   0.9820
