M6   degrees/h:
   86.95232    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0   24.859  0.   1.0104
2077 1 1 0 0 0  254.135  0.   0.9731
2078 1 1 0 0 0  197.264  0.   0.9400
2079 1 1 0 0 0  141.009  0.   0.9143
2080 1 1 0 0 0   85.203  0.   0.8984
2081 1 1 0 0 0  316.491  0.   0.8936
2082 1 1 0 0 0  260.893  0.   0.9003
2083 1 1 0 0 0  205.026  0.   0.9180
2084 1 1 0 0 0  148.677  0.   0.9451
2085 1 1 0 0 0   18.551  0.   0.9793
2086 1 1 0 0 0  320.832  0.   1.0167
2087 1 1 0 0 0  262.420  0.   1.0535
2088 1 1 0 0 0  203.348  0.   1.0851
2089 1 1 0 0 0   70.655  0.   1.1074
2090 1 1 0 0 0   10.821  0.   1.1173
2091 1 1 0 0 0  310.934  0.   1.1135
2092 1 1 0 0 0  251.232  0.   1.0964
2093 1 1 0 0 0  118.789  0.   1.0684
2094 1 1 0 0 0   60.068  0.   1.0334
2095 1 1 0 0 0    2.039  0.   0.9957
2096 1 1 0 0 0  304.737  0.   0.9596
2097 1 1 0 0 0  174.981  0.   0.9290
2098 1 1 0 0 0  118.924  0.   0.9069
2099 1 1 0 0 0   63.235  0.   0.8951
2100 1 1 0 0 0    7.681  0.   0.8948
2101 1 1 0 0 0  238.860  0.   0.9059
2102 1 1 0 0 0  182.829  0.   0.9275
2103 1 1 0 0 0  126.247  0.   0.9577
2104 1 1 0 0 0   68.986  0.   0.9935
2105 1 1 0 0 0  297.855  0.   1.0313
2106 1 1 0 0 0  239.172  0.   1.0666
2107 1 1 0 0 0  179.901  0.   1.0951
2108 1 1 0 0 0  120.218  0.   1.1128
2109 1 1 0 0 0  347.176  0.   1.1175
2110 1 1 0 0 0  287.333  0.   1.1083
2111 1 1 0 0 0  227.764  0.   1.0867
2112 1 1 0 0 0  168.671  0.   1.0555
2113 1 1 0 0 0   37.054  0.   1.0188
2114 1 1 0 0 0  339.306  0.   0.9813
2115 1 1 0 0 0  282.279  0.   0.9469
2116 1 1 0 0 0  225.896  0.   0.9193
2117 1 1 0 0 0   96.872  0.   0.9010
2118 1 1 0 0 0   41.265  0.   0.8936
2119 1 1 0 0 0  345.694  0.   0.8978
2120 1 1 0 0 0  289.908  0.   0.9131
2121 1 1 0 0 0  160.546  0.   0.9383
2122 1 1 0 0 0  103.712  0.   0.9711
2123 1 1 0 0 0   46.171  0.   1.0082
2124 1 1 0 0 0  347.905  0.   1.0455
2125 1 1 0 0 0  215.822  0.   1.0787
2126 1 1 0 0 0  156.368  0.   1.1034
2127 1 1 0 0 0   96.580  0.   1.1163
2128 1 1 0 0 0   36.684  0.   1.1156
2129 1 1 0 0 0  263.774  0.   1.1013
2130 1 1 0 0 0  204.367  0.   1.0755
2131 1 1 0 0 0  145.504  0.   1.0417
2132 1 1 0 0 0   87.312  0.   1.0042
2133 1 1 0 0 0  316.706  0.   0.9674
2134 1 1 0 0 0  259.943  0.   0.9353
2135 1 1 0 0 0  203.773  0.   0.9110
2136 1 1 0 0 0  148.021  0.   0.8968
2137 1 1 0 0 0   19.311  0.   0.8939
2138 1 1 0 0 0  323.686  0.   0.9024
2139 1 1 0 0 0  267.754  0.   0.9218
2140 1 1 0 0 0  211.299  0.   0.9502
2141 1 1 0 0 0   81.060  0.   0.9852
2142 1 1 0 0 0   23.234  0.   1.0229
2143 1 1 0 0 0  324.701  0.   1.0591
2144 1 1 0 0 0  265.551  0.   1.0894
2145 1 1 0 0 0  132.784  0.   1.1099
2146 1 1 0 0 0   72.938  0.   1.1177
2147 1 1 0 0 0   13.053  0.   1.1116
2148 1 1 0 0 0  313.414  0.   1.0926
2149 1 1 0 0 0  181.042  0.   1.0631
2150 1 1 0 0 0  122.439  0.   1.0274
2151 1 1 0 0 0   64.514  0.   0.9896
2152 1 1 0 0 0    7.316  0.   0.9542
2153 1 1 0 0 0  237.673  0.   0.9248
2154 1 1 0 0 0  181.678  0.   0.9042
2155 1 1 0 0 0  126.040  0.   0.8943
2156 1 1 0 0 0   70.471  0.   0.8958
2157 1 1 0 0 0  301.608  0.   0.9087
2158 1 1 0 0 0  245.511  0.   0.9319
2159 1 1 0 0 0  188.814  0.   0.9632
2160 1 1 0 0 0  131.449  0.   0.9996
2161 1 1 0 0 0    0.191  0.   1.0373
2162 1 1 0 0 0  301.414  0.   1.0718
2163 1 1 0 0 0  242.053  0.   1.0987
2164 1 1 0 0 0  182.333  0.   1.1145
2165 1 1 0 0 0   49.282  0.   1.1169
2166 1 1 0 0 0  349.479  0.   1.1056
2167 1 1 0 0 0  289.962  0.   1.0822
2168 1 1 0 0 0  230.974  0.   1.0499
2169 1 1 0 0 0   99.445  0.   1.0127
2170 1 1 0 0 0   41.827  0.   0.9754
2171 1 1 0 0 0  344.900  0.   0.9419
2172 1 1 0 0 0  288.621  0.   0.9157
2173 1 1 0 0 0  159.646  0.   0.8991
2174 1 1 0 0 0  104.073  0.   0.8935
2175 1 1 0 0 0   48.472  0.   0.8995
2176 1 1 0 0 0  352.641  0.   0.9165
2177 1 1 0 0 0  223.180  0.   0.9432
2178 1 1 0 0 0  166.248  0.   0.9769
2179 1 1 0 0 0  108.577  0.   1.0143
2180 1 1 0 0 0   50.210  0.   1.0512
2181 1 1 0 0 0  278.031  0.   1.0834
2182 1 1 0 0 0  218.521  0.   1.1063
2183 1 1 0 0 0  158.688  0.   1.1171
2184 1 1 0 0 0   98.808  0.   1.1142
2185 1 1 0 0 0  325.929  0.   1.0978
2186 1 1 0 0 0  266.611  0.   1.0705
2187 1 1 0 0 0  207.837  0.   1.0358
2188 1 1 0 0 0  149.772  0.   0.9981
2189 1 1 0 0 0   19.272  0.   0.9618
2190 1 1 0 0 0  322.602  0.   0.9307
2191 1 1 0 0 0  266.525  0.   0.9080
2192 1 1 0 0 0  210.808  0.   0.8956
2193 1 1 0 0 0   82.129  0.   0.8945
2194 1 1 0 0 0   26.435  0.   0.9049
2195 1 1 0 0 0  330.445  0.   0.9258
2196 1 1 0 0 0  273.916  0.   0.9555
2197 1 1 0 0 0  143.550  0.   0.9912
2198 1 1 0 0 0   85.595  0.   1.0289
2199 1 1 0 0 0   26.966  0.   1.0645
