NU2  degrees/h:
   28.51258    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  178.290  0.   1.0034
2077 1 1 0 0 0   72.875  0.   0.9909
2078 1 1 0 0 0    3.393  0.   0.9796
2079 1 1 0 0 0  294.117  0.   0.9706
2080 1 1 0 0 0  224.990  0.   0.9649
2081 1 1 0 0 0  120.246  0.   0.9632
2082 1 1 0 0 0   51.188  0.   0.9656
2083 1 1 0 0 0  342.041  0.   0.9719
2084 1 1 0 0 0  272.734  0.   0.9814
2085 1 1 0 0 0  167.518  0.   0.9930
2086 1 1 0 0 0   97.751  0.   1.0056
2087 1 1 0 0 0   27.758  0.   1.0175
2088 1 1 0 0 0  317.541  0.   1.0276
2089 1 1 0 0 0  211.469  0.   1.0346
2090 1 1 0 0 0  141.000  0.   1.0377
2091 1 1 0 0 0   70.513  0.   1.0365
2092 1 1 0 0 0    0.087  0.   1.0312
2093 1 1 0 0 0  254.099  0.   1.0223
2094 1 1 0 0 0  184.001  0.   1.0110
2095 1 1 0 0 0  114.133  0.   0.9986
2096 1 1 0 0 0   44.508  0.   0.9864
2097 1 1 0 0 0  299.416  0.   0.9757
2098 1 1 0 0 0  230.205  0.   0.9679
2099 1 1 0 0 0  161.118  0.   0.9638
2100 1 1 0 0 0   92.075  0.   0.9636
2101 1 1 0 0 0  347.292  0.   0.9676
2102 1 1 0 0 0  278.090  0.   0.9752
2103 1 1 0 0 0  208.704  0.   0.9857
2104 1 1 0 0 0  139.093  0.   0.9978
2105 1 1 0 0 0   33.543  0.   1.0103
2106 1 1 0 0 0  323.456  0.   1.0217
2107 1 1 0 0 0  253.175  0.   1.0307
2108 1 1 0 0 0  182.755  0.   1.0363
2109 1 1 0 0 0   76.566  0.   1.0377
2110 1 1 0 0 0    6.094  0.   1.0349
2111 1 1 0 0 0  295.712  0.   1.0281
2112 1 1 0 0 0  225.490  0.   1.0182
2113 1 1 0 0 0  119.776  0.   1.0062
2114 1 1 0 0 0   50.001  0.   0.9937
2115 1 1 0 0 0  340.468  0.   0.9820
2116 1 1 0 0 0  271.149  0.   0.9724
2117 1 1 0 0 0  166.300  0.   0.9658
2118 1 1 0 0 0   97.240  0.   0.9632
2119 1 1 0 0 0   28.191  0.   0.9647
2120 1 1 0 0 0  319.071  0.   0.9701
2121 1 1 0 0 0  214.111  0.   0.9790
2122 1 1 0 0 0  144.641  0.   0.9903
2123 1 1 0 0 0   74.936  0.   1.0027
2124 1 1 0 0 0    4.990  0.   1.0149
2125 1 1 0 0 0  259.119  0.   1.0256
2126 1 1 0 0 0  188.777  0.   1.0333
2127 1 1 0 0 0  118.323  0.   1.0373
2128 1 1 0 0 0   47.832  0.   1.0371
2129 1 1 0 0 0  301.689  0.   1.0327
2130 1 1 0 0 0  231.361  0.   1.0246
2131 1 1 0 0 0  161.216  0.   1.0137
2132 1 1 0 0 0   91.294  0.   1.0014
2133 1 1 0 0 0  345.917  0.   0.9890
2134 1 1 0 0 0  276.471  0.   0.9779
2135 1 1 0 0 0  207.224  0.   0.9694
2136 1 1 0 0 0  138.115  0.   0.9644
2137 1 1 0 0 0   33.369  0.   0.9633
2138 1 1 0 0 0  324.303  0.   0.9664
2139 1 1 0 0 0  255.134  0.   0.9732
2140 1 1 0 0 0  185.789  0.   0.9831
2141 1 1 0 0 0   80.535  0.   0.9950
2142 1 1 0 0 0   10.736  0.   1.0076
2143 1 1 0 0 0  300.700  0.   1.0193
2144 1 1 0 0 0  230.458  0.   1.0290
2145 1 1 0 0 0  124.361  0.   1.0354
2146 1 1 0 0 0   53.889  0.   1.0378
2147 1 1 0 0 0  343.400  0.   1.0359
2148 1 1 0 0 0  272.998  0.   1.0299
2149 1 1 0 0 0  167.032  0.   1.0206
2150 1 1 0 0 0   96.975  0.   1.0090
2151 1 1 0 0 0   27.140  0.   0.9965
2152 1 1 0 0 0  317.547  0.   0.9845
2153 1 1 0 0 0  212.494  0.   0.9743
2154 1 1 0 0 0  143.303  0.   0.9670
2155 1 1 0 0 0   74.233  0.   0.9635
2156 1 1 0 0 0    5.184  0.   0.9640
