2MK3 degrees/h:
   42.92714    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  254.899  0.   1.0115
2077 1 1 0 0 0   46.341  0.   1.0229
2078 1 1 0 0 0  247.215  0.   1.0292
2079 1 1 0 0 0   87.925  0.   1.0317
2080 1 1 0 0 0  288.566  0.   1.0323
2081 1 1 0 0 0   79.438  0.   1.0324
2082 1 1 0 0 0  280.061  0.   1.0323
2083 1 1 0 0 0  120.709  0.   1.0315
2084 1 1 0 0 0  321.438  0.   1.0285
2085 1 1 0 0 0  112.605  0.   1.0213
2086 1 1 0 0 0  313.859  0.   1.0091
2087 1 1 0 0 0  155.661  0.   0.9921
2088 1 1 0 0 0  358.134  0.   0.9734
2089 1 1 0 0 0  151.579  0.   0.9576
2090 1 1 0 0 0  355.274  0.   0.9499
2091 1 1 0 0 0  199.072  0.   0.9529
2092 1 1 0 0 0   42.525  0.   0.9656
2093 1 1 0 0 0  195.585  0.   0.9838
2094 1 1 0 0 0   37.670  0.   1.0020
2095 1 1 0 0 0  239.145  0.   1.0166
2096 1 1 0 0 0   80.192  0.   1.0259
2097 1 1 0 0 0  231.238  0.   1.0305
2098 1 1 0 0 0   71.913  0.   1.0321
2099 1 1 0 0 0  272.543  0.   1.0323
2100 1 1 0 0 0  113.163  0.   1.0324
2101 1 1 0 0 0  264.034  0.   1.0321
2102 1 1 0 0 0  104.705  0.   1.0307
2103 1 1 0 0 0  305.491  0.   1.0263
2104 1 1 0 0 0  146.518  0.   1.0172
2105 1 1 0 0 0  298.216  0.   1.0029
2106 1 1 0 0 0  140.264  0.   0.9848
2107 1 1 0 0 0  343.026  0.   0.9666
2108 1 1 0 0 0  186.447  0.   0.9534
2109 1 1 0 0 0  340.489  0.   0.9497
2110 1 1 0 0 0  184.201  0.   0.9569
2111 1 1 0 0 0   27.426  0.   0.9723
2112 1 1 0 0 0  229.949  0.   0.9910
2113 1 1 0 0 0   22.025  0.   1.0082
2114 1 1 0 0 0  223.311  0.   1.0208
2115 1 1 0 0 0   64.241  0.   1.0282
2116 1 1 0 0 0  264.978  0.   1.0314
2117 1 1 0 0 0   55.880  0.   1.0323
2118 1 1 0 0 0  256.503  0.   1.0324
2119 1 1 0 0 0   97.123  0.   1.0323
2120 1 1 0 0 0  297.762  0.   1.0318
2121 1 1 0 0 0   88.717  0.   1.0294
2122 1 1 0 0 0  289.579  0.   1.0234
2123 1 1 0 0 0  130.745  0.   1.0123
2124 1 1 0 0 0  332.403  0.   0.9962
2125 1 1 0 0 0  124.968  0.   0.9775
2126 1 1 0 0 0  328.006  0.   0.9606
2127 1 1 0 0 0  171.616  0.   0.9507
2128 1 1 0 0 0   15.432  0.   0.9513
2129 1 1 0 0 0  169.255  0.   0.9621
2130 1 1 0 0 0   12.219  0.   0.9795
2131 1 1 0 0 0  214.462  0.   0.9981
2132 1 1 0 0 0   56.060  0.   1.0137
2133 1 1 0 0 0  207.439  0.   1.0243
2134 1 1 0 0 0   48.277  0.   1.0298
2135 1 1 0 0 0  248.971  0.   1.0319
2136 1 1 0 0 0   89.607  0.   1.0323
2137 1 1 0 0 0  240.470  0.   1.0324
2138 1 1 0 0 0   81.094  0.   1.0322
2139 1 1 0 0 0  281.751  0.   1.0312
2140 1 1 0 0 0  122.494  0.   1.0276
2141 1 1 0 0 0  273.705  0.   1.0197
2142 1 1 0 0 0  115.039  0.   1.0066
2143 1 1 0 0 0  316.936  0.   0.9891
2144 1 1 0 0 0  159.534  0.   0.9705
2145 1 1 0 0 0  313.074  0.   0.9557
2146 1 1 0 0 0  156.824  0.   0.9496
2147 1 1 0 0 0    0.587  0.   0.9544
2148 1 1 0 0 0  203.957  0.   0.9683
2149 1 1 0 0 0  356.893  0.   0.9868
2150 1 1 0 0 0  198.877  0.   1.0047
2151 1 1 0 0 0   40.262  0.   1.0184
2152 1 1 0 0 0  241.249  0.   1.0269
2153 1 1 0 0 0   32.277  0.   1.0310
2154 1 1 0 0 0  232.933  0.   1.0322
2155 1 1 0 0 0   73.567  0.   1.0324
2156 1 1 0 0 0  274.179  0.   1.0323
2157 1 1 0 0 0   65.054  0.   1.0320
2158 1 1 0 0 0  265.745  0.   1.0302
2159 1 1 0 0 0  106.552  0.   1.0252
2160 1 1 0 0 0  307.642  0.   1.0153
2161 1 1 0 0 0   99.418  0.   1.0002
2162 1 1 0 0 0  301.584  0.   0.9818
2163 1 1 0 0 0  144.455  0.   0.9640
2164 1 1 0 0 0  347.969  0.   0.9521
2165 1 1 0 0 0  142.029  0.   0.9502
2166 1 1 0 0 0  345.695  0.   0.9589
2167 1 1 0 0 0  188.806  0.   0.9753
2168 1 1 0 0 0   31.220  0.   0.9940
2169 1 1 0 0 0  183.180  0.   1.0106
2170 1 1 0 0 0   24.404  0.   1.0223
2171 1 1 0 0 0  225.285  0.   1.0289
2172 1 1 0 0 0   66.010  0.   1.0317
2173 1 1 0 0 0  216.897  0.   1.0323
2174 1 1 0 0 0   57.526  0.   1.0324
2175 1 1 0 0 0  258.140  0.   1.0323
2176 1 1 0 0 0   98.793  0.   1.0316
2177 1 1 0 0 0  249.758  0.   1.0288
2178 1 1 0 0 0   90.666  0.   1.0220
2179 1 1 0 0 0  291.891  0.   1.0100
2180 1 1 0 0 0  133.653  0.   0.9933
2181 1 1 0 0 0  286.334  0.   0.9745
2182 1 1 0 0 0  129.489  0.   0.9584
2183 1 1 0 0 0  333.154  0.   0.9501
2184 1 1 0 0 0  176.967  0.   0.9524
2185 1 1 0 0 0  330.703  0.   0.9646
2186 1 1 0 0 0  173.561  0.   0.9825
2187 1 1 0 0 0   15.684  0.   1.0009
2188 1 1 0 0 0  217.200  0.   1.0158
2189 1 1 0 0 0    8.513  0.   1.0255
2190 1 1 0 0 0  209.312  0.   1.0304
2191 1 1 0 0 0   50.000  0.   1.0321
2192 1 1 0 0 0  250.623  0.   1.0323
2193 1 1 0 0 0   41.501  0.   1.0324
2194 1 1 0 0 0  242.105  0.   1.0322
2195 1 1 0 0 0   82.779  0.   1.0309
2196 1 1 0 0 0  283.562  0.   1.0267
2197 1 1 0 0 0   74.814  0.   1.0180
2198 1 1 0 0 0  276.218  0.   1.0040
2199 1 1 0 0 0  118.230  0.   0.9861
