K2   degrees/h:
   30.08214    
Year M D h m s  V0+u(deg)     f
2076 1 1 0 0 0  183.272  0.   0.9904
2077 1 1 0 0 0  185.724  0.   1.0888
2078 1 1 0 0 0  188.003  0.   1.1809
2079 1 1 0 0 0  191.649  0.   1.2553
2080 1 1 0 0 0  196.189  0.   1.3026
2081 1 1 0 0 0  203.140  0.   1.3171
2082 1 1 0 0 0  208.065  0.   1.2969
2083 1 1 0 0 0  212.488  0.   1.2444
2084 1 1 0 0 0  215.936  0.   1.1663
2085 1 1 0 0 0  219.917  0.   1.0721
2086 1 1 0 0 0  220.054  0.   0.9742
2087 1 1 0 0 0  218.077  0.   0.8847
2088 1 1 0 0 0  214.039  0.   0.8137
2089 1 1 0 0 0  210.328  0.   0.7673
2090 1 1 0 0 0  203.723  0.   0.7479
2091 1 1 0 0 0  196.948  0.   0.7554
2092 1 1 0 0 0  190.770  0.   0.7898
2093 1 1 0 0 0  187.894  0.   0.8505
2094 1 1 0 0 0  184.974  0.   0.9328
2095 1 1 0 0 0  184.189  0.   1.0284
2096 1 1 0 0 0  185.408  0.   1.1257
2097 1 1 0 0 0  190.251  0.   1.2125
2098 1 1 0 0 0  194.301  0.   1.2773
2099 1 1 0 0 0  199.061  0.   1.3123
2100 1 1 0 0 0  204.065  0.   1.3134
2101 1 1 0 0 0  210.837  0.   1.2801
2102 1 1 0 0 0  214.938  0.   1.2167
2103 1 1 0 0 0  217.881  0.   1.1311
2104 1 1 0 0 0  219.207  0.   1.0341
2105 1 1 0 0 0  220.513  0.   0.9379
2106 1 1 0 0 0  217.709  0.   0.8545
2107 1 1 0 0 0  212.970  0.   0.7926
2108 1 1 0 0 0  206.850  0.   0.7566
2109 1 1 0 0 0  202.042  0.   0.7476
2110 1 1 0 0 0  195.407  0.   0.7655
2111 1 1 0 0 0  189.666  0.   0.8103
2112 1 1 0 0 0  185.519  0.   0.8800
2113 1 1 0 0 0  185.386  0.   0.9689
2114 1 1 0 0 0  185.411  0.   1.0666
2115 1 1 0 0 0  187.318  0.   1.1612
2116 1 1 0 0 0  190.695  0.   1.2405
2117 1 1 0 0 0  197.060  0.   1.2947
2118 1 1 0 0 0  201.969  0.   1.3169
2119 1 1 0 0 0  206.944  0.   1.3044
2120 1 1 0 0 0  211.522  0.   1.2589
2121 1 1 0 0 0  217.214  0.   1.1856
2122 1 1 0 0 0  219.581  0.   1.0942
2123 1 1 0 0 0  220.171  0.   0.9961
2124 1 1 0 0 0  218.681  0.   0.9037
2125 1 1 0 0 0  217.046  0.   0.8276
2126 1 1 0 0 0  211.690  0.   0.7755
2127 1 1 0 0 0  205.230  0.   0.7499
2128 1 1 0 0 0  198.426  0.   0.7513
2129 1 1 0 0 0  194.002  0.   0.7798
2130 1 1 0 0 0  188.805  0.   0.8346
2131 1 1 0 0 0  185.418  0.   0.9126
2132 1 1 0 0 0  184.150  0.   1.0062
2133 1 1 0 0 0  186.918  0.   1.1044
2134 1 1 0 0 0  189.449  0.   1.1944
2135 1 1 0 0 0  193.272  0.   1.2650
2136 1 1 0 0 0  197.912  0.   1.3073
2137 1 1 0 0 0  204.888  0.   1.3162
2138 1 1 0 0 0  209.763  0.   1.2904
2139 1 1 0 0 0  214.061  0.   1.2333
2140 1 1 0 0 0  217.308  0.   1.1519
2141 1 1 0 0 0  221.012  0.   1.0562
2142 1 1 0 0 0  220.819  0.   0.9589
2143 1 1 0 0 0  218.495  0.   0.8718
2144 1 1 0 0 0  214.157  0.   0.8045
2145 1 1 0 0 0  210.243  0.   0.7624
2146 1 1 0 0 0  203.559  0.   0.7472
2147 1 1 0 0 0  196.828  0.   0.7591
2148 1 1 0 0 0  190.818  0.   0.7979
2149 1 1 0 0 0  188.220  0.   0.8625
2150 1 1 0 0 0  185.640  0.   0.9476
2151 1 1 0 0 0  185.196  0.   1.0443
2152 1 1 0 0 0  186.708  0.   1.1407
2153 1 1 0 0 0  191.775  0.   1.2246
2154 1 1 0 0 0  195.971  0.   1.2851
2155 1 1 0 0 0  200.802  0.   1.3149
2156 1 1 0 0 0  205.803  0.   1.3103
2157 1 1 0 0 0  212.496  0.   1.2717
2158 1 1 0 0 0  216.442  0.   1.2041
2159 1 1 0 0 0  219.154  0.   1.1159
2160 1 1 0 0 0  220.180  0.   1.0183
2161 1 1 0 0 0  221.143  0.   0.9233
2162 1 1 0 0 0  218.002  0.   0.8429
2163 1 1 0 0 0  212.995  0.   0.7850
2164 1 1 0 0 0  206.720  0.   0.7533
2165 1 1 0 0 0  201.880  0.   0.7486
2166 1 1 0 0 0  195.338  0.   0.7710
2167 1 1 0 0 0  189.811  0.   0.8200
2168 1 1 0 0 0  185.972  0.   0.8933
2169 1 1 0 0 0  186.188  0.   0.9844
2170 1 1 0 0 0  186.539  0.   1.0825
2171 1 1 0 0 0  188.713  0.   1.1753
2172 1 1 0 0 0  192.284  0.   1.2512
2173 1 1 0 0 0  198.767  0.   1.3006
2174 1 1 0 0 0  203.718  0.   1.3172
2175 1 1 0 0 0  208.660  0.   1.2992
2176 1 1 0 0 0  213.130  0.   1.2487
2177 1 1 0 0 0  218.637  0.   1.1718
2178 1 1 0 0 0  220.745  0.   1.0785
2179 1 1 0 0 0  221.014  0.   0.9805
2180 1 1 0 0 0  219.177  0.   0.8901
2181 1 1 0 0 0  217.224  0.   0.8175
2182 1 1 0 0 0  211.641  0.   0.7695
2183 1 1 0 0 0  205.073  0.   0.7483
2184 1 1 0 0 0  198.285  0.   0.7540
2185 1 1 0 0 0  194.002  0.   0.7869
2186 1 1 0 0 0  189.061  0.   0.8458
2187 1 1 0 0 0  186.005  0.   0.9269
2188 1 1 0 0 0  185.082  0.   1.0220
2189 1 1 0 0 0  188.158  0.   1.1198
2190 1 1 0 0 0  190.929  0.   1.2074
2191 1 1 0 0 0  194.916  0.   1.2739
2192 1 1 0 0 0  199.644  0.   1.3111
2193 1 1 0 0 0  206.633  0.   1.3143
2194 1 1 0 0 0  211.447  0.   1.2832
2195 1 1 0 0 0  215.607  0.   1.2216
2196 1 1 0 0 0  218.639  0.   1.1372
2197 1 1 0 0 0  222.057  0.   1.0403
2198 1 1 0 0 0  221.528  0.   0.9439
2199 1 1 0 0 0  218.861  0.   0.8594
