 P1 pulsation (degrees/h):
  14.9589313609999994
Year  M D h m s  V0(deg)   u(deg)    f:
2028  1 1 0 0 0  349.812    0.000    1.000 
2029  1 1 0 0 0  349.065    0.000    1.000 
2030  1 1 0 0 0  349.304    0.000    1.000 
2031  1 1 0 0 0  349.542    0.000    1.000 
2032  1 1 0 0 0  349.781    0.000    1.000 
2033  1 1 0 0 0  349.034    0.000    1.000 
2034  1 1 0 0 0  349.273    0.000    1.000 
2035  1 1 0 0 0  349.512    0.000    1.000 
2036  1 1 0 0 0  349.750    0.000    1.000 
2037  1 1 0 0 0  349.003    0.000    1.000 
2038  1 1 0 0 0  349.242    0.000    1.000 
2039  1 1 0 0 0  349.481    0.000    1.000 
2040  1 1 0 0 0  349.720    0.000    1.000 
2041  1 1 0 0 0  348.973    0.000    1.000 
2042  1 1 0 0 0  349.211    0.000    1.000 
2043  1 1 0 0 0  349.450    0.000    1.000 
2044  1 1 0 0 0  349.689    0.000    1.000 
2045  1 1 0 0 0  348.942    0.000    1.000 
2046  1 1 0 0 0  349.181    0.000    1.000 
2047  1 1 0 0 0  349.419    0.000    1.000 
2048  1 1 0 0 0  349.658    0.000    1.000 
2049  1 1 0 0 0  348.911    0.000    1.000 
2050  1 1 0 0 0  349.150    0.000    1.000 
2051  1 1 0 0 0  349.389    0.000    1.000 
2052  1 1 0 0 0  349.627    0.000    1.000 
2053  1 1 0 0 0  348.880    0.000    1.000 
2054  1 1 0 0 0  349.119    0.000    1.000 
2055  1 1 0 0 0  349.358    0.000    1.000 
2056  1 1 0 0 0  349.597    0.000    1.000 
2057  1 1 0 0 0  348.850    0.000    1.000 
2058  1 1 0 0 0  349.088    0.000    1.000 
2059  1 1 0 0 0  349.327    0.000    1.000 
2060  1 1 0 0 0  349.566    0.000    1.000 
2061  1 1 0 0 0  348.819    0.000    1.000 
2062  1 1 0 0 0  349.058    0.000    1.000 
2063  1 1 0 0 0  349.296    0.000    1.000 
2064  1 1 0 0 0  349.535    0.000    1.000 
2065  1 1 0 0 0  348.788    0.000    1.000 
2066  1 1 0 0 0  349.027    0.000    1.000 
2067  1 1 0 0 0  349.266    0.000    1.000 
2068  1 1 0 0 0  349.504    0.000    1.000 
2069  1 1 0 0 0  348.757    0.000    1.000 
2070  1 1 0 0 0  348.996    0.000    1.000 
2071  1 1 0 0 0  349.235    0.000    1.000 
2072  1 1 0 0 0  349.474    0.000    1.000 
2073  1 1 0 0 0  348.727    0.000    1.000 
2074  1 1 0 0 0  348.965    0.000    1.000 
2075  1 1 0 0 0  349.204    0.000    1.000 
2076  1 1 0 0 0  349.443    0.000    1.000 
