 K2 pulsation (degrees/h):
  30.0821372780000011
Year  M D h m s  V0(deg)   u(deg)    f:
2071  1 1 0 0 0  201.530    3.854    0.751 
2072  1 1 0 0 0  201.053  357.537    0.748 
2073  1 1 0 0 0  202.547  351.501    0.772 
2074  1 1 0 0 0  202.069  346.544    0.823 
2075  1 1 0 0 0  201.592  343.310    0.898 
2076  1 1 0 0 0  201.114  342.170    0.989 
2077  1 1 0 0 0  202.608  343.124    1.088 
2078  1 1 0 0 0  202.131  345.877    1.180 
2079  1 1 0 0 0  201.653  349.996    1.254 
2080  1 1 0 0 0  201.176  355.010    1.302 
2081  1 1 0 0 0  202.670    0.463    1.316 
2082  1 1 0 0 0  202.192    5.863    1.296 
2083  1 1 0 0 0  201.715   10.762    1.244 
2084  1 1 0 0 0  201.237   14.686    1.165 
2085  1 1 0 0 0  202.731   17.173    1.071 
2086  1 1 0 0 0  202.254   17.790    0.973 
2087  1 1 0 0 0  201.776   16.293    0.884 
2088  1 1 0 0 0  201.299   12.738    0.813 
2089  1 1 0 0 0  202.793    7.538    0.766 
2090  1 1 0 0 0  202.315    1.416    0.747 
2091  1 1 0 0 0  201.838  355.123    0.754 
2092  1 1 0 0 0  201.360  349.425    0.789 
2093  1 1 0 0 0  202.854  345.056    0.849 
2094  1 1 0 0 0  202.377  342.612    0.932 
2095  1 1 0 0 0  201.899  342.302    1.027 
2096  1 1 0 0 0  201.422  343.994    1.125 
2097  1 1 0 0 0  202.916  347.339    1.211 
2098  1 1 0 0 0  202.438  351.861    1.276 
2099  1 1 0 0 0  201.961  357.095    1.311 
2100  1 1 0 0 0  201.483    2.574    1.312 
