 M2 pulsation (degrees/h):
  28.9841042139999985
Year  M D h m s  V0(deg)   u(deg)    f:
2071  1 1 0 0 0   11.053    0.434    1.037 
2072  1 1 0 0 0  111.806  359.723    1.038 
2073  1 1 0 0 0  188.177  359.041    1.034 
2074  1 1 0 0 0  288.930  358.466    1.026 
2075  1 1 0 0 0   29.683  358.062    1.016 
2076  1 1 0 0 0  130.436  357.873    1.004 
2077  1 1 0 0 0  206.807  357.924    0.991 
2078  1 1 0 0 0  307.560  358.210    0.980 
2079  1 1 0 0 0   48.313  358.701    0.971 
2080  1 1 0 0 0  149.066  359.342    0.965 
2081  1 1 0 0 0  225.438    0.061    0.963 
2082  1 1 0 0 0  326.191    0.771    0.966 
2083  1 1 0 0 0   66.943    1.392    0.972 
2084  1 1 0 0 0  167.696    1.853    0.981 
2085  1 1 0 0 0  244.068    2.102    0.993 
2086  1 1 0 0 0  344.821    2.112    1.006 
2087  1 1 0 0 0   85.574    1.885    1.018 
2088  1 1 0 0 0  186.326    1.449    1.028 
2089  1 1 0 0 0  262.698    0.850    1.035 
2090  1 1 0 0 0    3.451    0.159    1.038 
2091  1 1 0 0 0  104.204  359.451    1.037 
2092  1 1 0 0 0  204.957  358.803    1.031 
2093  1 1 0 0 0  281.328  358.286    1.022 
2094  1 1 0 0 0   22.081  357.961    1.011 
2095  1 1 0 0 0  122.834  357.863    0.999 
2096  1 1 0 0 0  223.587  358.007    0.986 
2097  1 1 0 0 0  299.958  358.379    0.976 
2098  1 1 0 0 0   40.711  358.936    0.968 
2099  1 1 0 0 0  141.464  359.616    0.964 
2100  1 1 0 0 0  242.217    0.340    0.964 
